N	2gram	Propp_Morf_1	Mirosoze
1	может быть	52	30
2	не только	4	29
3	и в	13	28
4	не может	14	28
5	но и	4	25
6	а не	11	25
7	он не	3	24
8	в этом	14	20
9	не в	3	16
10	потому что	3	16
11	и есть	2	14
12	и не	12	11
13	что в	8	10
14	прежде всего	9	10
15	что он	4	10
16	было бы	3	10
17	с тем	2	9
18	но не	4	8
19	того что	3	7
20	но в	2	7
21	к нему	3	7
22	в том	6	6
23	в этой	2	6
24	только в	2	6
25	в которой	3	6
26	не могут	4	5
27	это не	6	5
28	у нас	2	5
29	как и	3	5
30	то что	8	5
31	в этих	13	4
32	смысле слова	4	4
33	и по	2	4
34	а в	7	4
35	в которых	2	4
36	точки зрения	2	4
37	один из	5	4
38	это и	2	4
39	она не	2	4
40	что и	7	4
41	уже не	2	4
42	на пути	4	4
43	тем что	4	4
44	значит что	3	4
45	себя и	2	3
46	к тому	4	3
47	для нас	2	3
48	но если	7	3
49	и их	2	3
50	не имеет	2	3
51	с этим	11	3
52	его в	2	3
53	в иных	4	3
54	так как	16	3
55	на этом	3	3
56	с его	2	3
57	он должен	2	3
58	с собой	3	3
59	том что	4	3
60	учение о	3	3
61	есть и	4	3
62	ничего не	4	3
63	мы увидим	8	3
64	вряд ли	2	3
65	хотя бы	4	3
66	связана с	3	2
67	по своему	2	2
68	прежде чем	3	2
69	этот случай	5	2
70	вопрос о	7	2
71	в ином	2	2
72	для того	2	2
73	могут быть	16	2
74	по отношению	4	2
75	все эти	2	2
76	и что	2	2
77	время как	3	2
78	также и	4	2
79	сказать что	2	2
80	в начале	3	2
81	самого себя	2	2
82	как бы	3	2
83	о том	2	2
84	в россии	2	2
85	не значит	2	2
86	не существует	3	2
87	если бы	2	2
88	в иное	5	2
89	к этому	3	2
90	отношению к	4	2
91	мы видим	13	2
92	в то	3	2
93	то время	3	2
94	как будто	2	2
95	никто не	3	2
96	и к	4	2
97	же можно	2	2
98	все же	7	2
99	как в	3	2
100	приводит к	2	2
101	входит в	2	2
102	т е	21	2
103	того чтобы	3	2
104	к чему	3	2
105	и как	5	2
106	и для	2	2
107	в каком	2	2
108	с того	3	2
109	не все	6	2
