N	3gram	Potebnia_M_1	Psycholo
1	и т п	2	15
2	в том что	13	9
3	и т д	4	8
4	не может быть	9	8
5	с одной стороны	3	5
6	само по себе	4	5
7	с другой стороны	5	5
8	подобно тому как	3	5
9	не в том	4	5
10	для того чтобы	2	5
11	как и в	2	4
12	только тогда когда	4	4
13	одной и той	3	3
14	и той же	3	3
15	только в том	6	3
16	не только не	2	3
17	все то что	2	3
18	так и в	3	2
19	в таком случае	2	2
20	с точки зрения	3	2
21	тем не менее	6	2
22	а в том	3	2
23	сама по себе	3	2
24	мы увидим что	3	2
25	в применении к	2	2
26	в том и	2	2
27	в этом смысле	4	2
28	что и в	3	2
