N	2gram	Tiupa_Teor_1	Myshleni
1	мышления и	2	40
2	речи и	2	28
3	точки зрения	9	26
4	таким образом	3	26
5	в том	16	24
6	и в	18	23
7	том что	9	21
8	в целом	3	20
9	с точки	3	18
10	то что	3	17
11	в этом	8	17
12	так же	2	16
13	не только	16	16
14	того что	4	15
15	что в	9	14
16	может быть	17	14
17	но и	9	14
18	как и	4	14
19	в его	6	14
20	не может	4	12
21	как бы	5	11
22	сказать что	3	11
23	представляет собой	9	11
24	с другой	7	10
25	прежде всего	2	10
26	в отношении	3	10
27	в качестве	24	9
28	одной стороны	2	9
29	не является	4	9
30	другой стороны	5	9
31	и не	13	9
32	между тем	5	9
33	вместе с	2	9
34	внутренней речи	13	9
35	в ходе	4	8
36	с одной	2	8
37	заключается в	2	8
38	в основе	3	8
39	то же	7	8
40	в этой	3	7
41	в самом	4	7
42	по отношению	4	7
43	в то	6	7
44	отношению к	4	7
45	и ее	3	7
46	в другом	3	7
47	столь же	2	6
48	и тем	3	6
49	все это	2	6
50	именно в	3	6
51	лишь в	6	6
52	могли бы	2	6
53	потому что	3	6
54	и его	8	6
55	в себе	9	6
56	только в	6	6
57	тому что	2	5
58	в какой	2	5
59	перед нами	2	5
60	можно сказать	3	5
61	и как	2	5
62	если бы	3	5
63	но в	9	5
64	что может	2	5
65	между собой	3	5
66	по своей	3	5
67	и что	3	5
68	он не	3	5
69	так и	10	5
70	тем самым	4	5
71	и т.д	3	5
72	к действительности	3	5
73	но не	9	4
74	единое целое	2	4
75	в свою	3	4
76	не в	7	4
77	при этом	12	4
78	что она	2	4
79	все эти	2	4
80	их в	3	4
81	с его	5	4
82	в одном	2	4
83	и к	3	4
84	к тому	2	4
85	в своей	6	4
86	как в	5	4
87	приводит к	5	4
88	как раз	2	4
89	а с	3	4
90	говорит что	2	4
91	ни в	2	4
92	этого слова	3	4
93	я не	2	3
94	говоря словами	3	3
95	в своем	4	3
96	из этих	3	3
97	свою очередь	2	3
98	в их	2	3
99	который в	2	3
100	отношения к	2	3
101	вовсе не	3	3
102	превращается в	2	3
103	не могло	2	3
104	этих двух	2	3
105	об этом	2	3
106	на две	3	3
107	а не	9	3
108	и то	2	3
109	могут быть	4	3
110	и это	2	3
111	и который	2	3
112	в которой	2	3
113	в области	4	3
114	в противоположность	2	2
115	в частности	16	2
116	никогда не	4	2
117	в нашем	4	2
118	или даже	4	2
119	в конце	2	2
120	же время	5	2
121	для него	2	2
122	внешнего мира	2	2
123	вслед за	2	2
124	хотя и	3	2
125	один из	2	2
126	не с	3	2
127	значения и	2	2
128	данном случае	5	2
129	и вот	3	2
130	в слове	3	2
131	в единое	3	2
132	и даже	2	2
133	а в	13	2
134	к его	2	2
135	говорить о	3	2
136	в первом	2	2
137	в этих	3	2
138	человека с	2	2
139	как это	8	2
140	в них	2	2
141	он должен	2	2
142	в ее	5	2
143	своей природе	2	2
144	за пределы	2	2
145	иначе говоря	4	2
146	и потому	2	2
147	в равной	3	2
148	даже в	3	2
149	как говорит	3	2
150	ее в	2	2
151	слова как	3	2
152	ключ к	2	2
153	если мы	2	2
154	уже не	4	2
155	между ними	4	2
156	с другими	5	2
157	в данном	8	2
158	между двумя	3	2
159	все прочие	3	2
160	дело в	2	2
161	человека к	3	2
