N	2gram	Tiupa_Hudo_1	Sovremen
1	не может	7	17
2	точки зрения	10	12
3	может быть	14	12
4	таким образом	3	11
5	в этом	11	7
6	и в	19	7
7	и не	15	6
8	как и	2	6
9	прежде всего	4	5
10	все эти	2	5
11	с точки	3	5
12	как бы	9	4
13	если мы	2	4
14	в целом	3	4
15	это не	2	4
16	а в	12	4
17	не только	16	4
18	в том	18	4
19	их в	3	4
20	в системе	2	3
21	отнюдь не	2	3
22	между собой	2	3
23	все это	2	3
24	отличается от	2	3
25	то же	10	3
26	в нем	5	3
27	а не	9	3
28	и к	3	3
29	не в	7	3
30	в этой	2	3
31	одна из	2	3
32	еще не	3	3
33	при этом	13	3
34	и т.д	3	3
35	в одном	2	3
36	в себе	9	3
37	в области	6	3
38	что она	2	3
39	но в	7	3
40	и потому	2	3
41	этих двух	2	2
42	не менее	3	2
43	быть и	2	2
44	в нашем	2	2
45	приводит к	5	2
46	в отличие	7	2
47	из этих	3	2
48	с одной	2	2
49	каждая из	2	2
50	уже не	4	2
51	в свою	3	2
52	или иной	7	2
53	и что	3	2
54	и по	2	2
55	тем не	3	2
56	он должен	3	2
57	тот или	2	2
58	свою очередь	2	2
59	времени и	2	2
60	а на	5	2
61	могут быть	4	2
62	что в	6	2
63	говорить о	3	2
64	такого рода	10	2
65	в самом	5	2
66	в которой	2	2
67	отличие от	7	2
68	в его	9	2
