N	2gram	Savitsky_P_1	OGranits
1	и в	14	13
2	прежде всего	3	9
3	не может	4	8
4	и не	12	8
5	может быть	5	8
6	точки зрения	3	7
7	и пр	5	7
8	в его	2	7
9	не только	17	6
10	то что	4	6
11	только в	7	6
12	мы должны	4	6
13	как бы	4	6
14	с точки	3	5
15	хотя бы	8	5
16	то же	9	4
17	все это	2	4
18	мы не	3	4
19	было бы	6	4
20	но в	9	4
21	в выборе	2	4
22	что в	4	3
23	но и	6	3
24	в ее	2	3
25	да и	2	3
26	не в	5	3
27	не столько	2	3
28	в пределах	8	3
29	в себе	3	3
30	говорить о	2	3
31	с этим	2	3
32	не менее	2	2
33	и тем	2	2
34	в нем	3	2
35	во всей	2	2
36	а не	2	2
37	думать что	2	2
38	в отношении	10	2
39	с другой	5	2
40	в них	2	2
41	а в	4	2
42	с одной	3	2
43	есть не	2	2
44	и к	4	2
45	если бы	4	2
46	в общем	2	2
47	в том	9	2
48	в которую	2	2
49	том что	4	2
50	с ними	3	2
51	в этом	10	2
52	между тем	3	2
53	могут быть	3	2
54	тот же	3	2
55	одной стороны	3	2
56	в области	11	2
57	вслед за	3	2
58	в ней	6	2
59	а также	4	2
