N	3gram	Losev_Prob_4	StatiiOP
1	и т д	3	21
2	в том что	8	17
3	о том что	3	11
4	для того чтобы	2	10
5	можно было бы	4	8
6	с точки зрения	11	8
7	в данном случае	5	6
8	на самом деле	3	6
9	с другой стороны	6	6
10	во всяком случае	4	6
11	в то же	2	4
12	не только в	4	4
13	того или иного	3	4
14	ничего общего с	2	3
15	и только в	2	3
16	только в том	3	3
17	заключается в том	2	3
18	в том смысле	2	2
19	в то время	2	2
20	не имеет ничего	2	2
21	а также и	2	2
22	тем не менее	10	2
23	хотя бы и	2	2
24	по крайней мере	6	2
25	дело не в	2	2
26	имеет ничего общего	2	2
