N	2gram	Savitsky_E_1	Dialekti
1	не есть	2	54
2	т е	9	48
3	и не	14	27
4	а не	2	26
5	точки зрения	23	25
6	это значит	2	24
7	и в	37	24
8	не только	18	23
9	по себе	4	20
10	не может	9	19
11	и что	2	15
12	что все	2	14
13	в таком	3	14
14	то что	6	14
15	с точки	17	14
16	может быть	6	13
17	таким образом	2	13
18	и даже	6	13
19	вовсе не	6	13
20	что это	2	12
21	того что	7	12
22	не имеет	4	11
23	что же	2	11
24	отнюдь не	9	10
25	но и	14	9
26	есть не	2	9
27	прежде всего	9	8
28	и как	2	8
29	том что	6	8
30	в этом	12	8
31	в виде	5	8
32	что в	21	7
33	никогда не	3	7
34	в самом	4	7
35	потому что	3	7
36	как и	7	7
37	должна быть	2	6
38	но если	5	6
39	и только	3	6
40	и с	2	6
41	о том	3	6
42	так как	7	6
43	если бы	2	6
44	и все	2	6
45	утверждать что	2	6
46	что и	3	6
47	не на	4	6
48	то же	15	6
49	можно ли	3	5
50	с этой	6	5
51	как же	2	5
52	в том	11	5
53	хотя и	2	5
54	точка зрения	2	5
55	жизни и	2	5
56	как на	3	5
57	в то	16	5
58	как это	4	5
59	само по	4	5
60	в них	3	5
61	вопрос о	4	5
62	тогда когда	2	5
63	и к	3	5
64	есть ли	2	5
65	было бы	8	5
66	он не	2	5
67	так и	10	5
68	и притом	4	5
69	мы не	4	5
70	только в	9	5
71	с другой	7	4
72	не могут	2	4
73	или иной	4	4
74	к тому	8	4
75	хотя бы	15	4
76	так же	9	4
77	сказать что	4	4
78	в истории	2	4
79	говорит о	3	4
80	и то	2	4
81	но даже	4	3
82	в своем	14	3
83	и от	3	3
84	не в	5	3
85	есть в	2	3
86	она не	2	3
87	же время	14	3
88	одной стороны	8	3
89	тем более	4	3
90	и тут	2	3
91	из них	3	3
92	с одной	8	3
93	того или	4	3
94	в сферу	2	3
95	и на	6	3
96	с этим	2	3
97	ни на	3	3
98	при помощи	2	3
99	тем что	3	3
100	уже и	3	3
101	мира и	3	3
102	на себя	3	3
103	в силу	2	3
104	на то	6	3
105	при условии	2	3
106	не будет	3	3
107	как бы	6	3
108	и прежде	3	3
109	к природе	2	3
110	тем самым	5	3
111	для того	6	3
112	к нему	2	3
113	в каком	4	3
114	но на	3	2
115	же как	5	2
116	что если	2	2
117	в частности	5	2
118	вообще не	3	2
119	этой точки	5	2
120	из того	2	2
121	в смысле	9	2
122	и можно	2	2
123	для нас	4	2
124	не можем	2	2
125	несмотря на	4	2
126	и если	2	2
127	нас к	2	2
128	той или	4	2
129	всяком случае	3	2
130	говоря уже	2	2
131	и тем	3	2
132	только одно	2	2
133	не говоря	2	2
134	а именно	2	2
135	другой стороны	2	2
136	целый ряд	2	2
137	именно в	4	2
138	и по	5	2
139	а в	2	2
140	в своих	2	2
141	меньше чем	2	2
142	также и	7	2
143	ее от	2	2
144	в ней	4	2
145	и потому	5	2
146	бы в	2	2
147	но в	14	2
148	и во	2	2
149	в их	11	2
150	думать что	8	2
151	или иного	4	2
152	же в	2	2
153	но как	2	2
154	то в	4	2
155	но не	5	2
156	но еще	2	2
157	только к	2	2
158	со стороны	5	2
159	как не	2	2
160	на них	2	2
161	ее в	3	2
162	на основании	2	2
163	как мы	5	2
164	и для	3	2
165	можно утверждать	2	2
166	или в	2	2
167	в данном	3	2
168	бы то	4	2
169	во всяком	3	2
170	могут быть	2	2
171	в себе	9	2
172	его на	2	2
173	в его	2	2
