N	2gram	Bakhtin_Pr_1	OGranits
1	и в	38	13
2	и его	16	12
3	прежде всего	13	9
4	не может	27	8
5	и не	42	8
6	может быть	26	8
7	точки зрения	8	7
8	и пр	2	7
9	эстетический объект	37	7
10	в его	43	7
11	таким образом	10	6
12	не только	9	6
13	то что	8	6
14	только в	13	6
15	мы должны	2	6
16	как бы	22	6
17	в музыке	5	5
18	художественного произведения	11	5
19	все же	6	5
20	с точки	6	5
21	и эта	2	5
22	хотя бы	4	5
23	в поэзии	9	5
24	эстетического объекта	37	5
25	и наконец	6	5
26	то же	5	4
27	не является	3	4
28	в своей	7	4
29	вопроса о	3	4
30	все это	3	4
31	в каждом	2	4
32	на фоне	3	4
33	в двух	2	4
34	лишь в	2	4
35	мы можем	6	4
36	материала в	10	4
37	было бы	8	4
38	но в	4	4
39	произведения как	8	4
40	к единству	5	3
41	отношению к	19	3
42	что в	7	3
43	никогда не	5	3
44	но и	9	3
45	материала и	2	3
46	так и	5	3
47	в их	10	3
48	по отношению	21	3
49	и все	3	3
50	здесь мы	2	3
51	самом деле	6	3
52	языка как	2	3
53	в ее	4	3
54	да и	3	3
55	поэтического произведения	3	3
56	как и	7	3
57	не в	7	3
58	за пределы	12	3
59	в пределах	6	3
60	в себе	4	3
61	в искусстве	12	3
62	говорить о	3	3
63	и для	11	3
64	слово в	2	3
65	не менее	4	2
66	и др	8	2
67	а как	3	2
68	и тем	3	2
69	в нем	15	2
70	может иметь	5	2
71	в целом	3	2
72	данном случае	4	2
73	а не	5	2
74	художественное произведение	8	2
75	что эта	2	2
76	в произведении	4	2
77	материал в	4	2
78	может стать	3	2
79	другой стороны	4	2
80	с другой	7	2
81	от всех	4	2
82	не на	5	2
83	в них	5	2
84	в связи	2	2
85	входит в	8	2
86	и должно	3	2
87	а в	6	2
88	художественных произведений	2	2
89	значение материала	4	2
90	с одной	3	2
91	все эти	5	2
92	вовсе не	2	2
93	формальный метод	3	2
94	или иного	2	2
95	есть не	2	2
96	в тех	3	2
97	и к	3	2
98	как в	4	2
99	если бы	3	2
100	в чем	2	2
101	не имеет	9	2
102	в том	8	2
103	в словесном	2	2
104	том что	3	2
105	объект и	4	2
106	языка но	2	2
107	с ними	4	2
108	с помощью	7	2
109	в своих	2	2
110	в данном	4	2
111	произведения но	2	2
112	в этом	15	2
113	тем что	2	2
114	между тем	7	2
115	могут быть	5	2
116	при этом	5	2
117	нуждается в	2	2
118	смысле слова	2	2
119	и ее	2	2
120	форм и	2	2
121	в другом	2	2
122	во всем	2	2
123	более того	4	2
124	одной стороны	3	2
125	несмотря на	3	2
126	того или	2	2
127	слова и	3	2
128	в области	11	2
129	в самом	7	2
130	и при	2	2
131	имеет место	5	2
132	там где	6	2
133	изобразительных искусствах	2	2
134	только его	3	2
135	данного материала	3	2
136	в ней	4	2
137	при восприятии	2	2
