N	2gram	Propp_Morf_1	formyVre
1	и в	13	50
2	в этом	14	25
3	прежде всего	9	15
4	и не	12	14
5	как мы	6	14
6	вовсе не	4	13
7	по существу	12	12
8	так и	6	12
9	может быть	52	11
10	таким образом	21	11
11	то же	7	11
12	и как	5	10
13	но в	2	10
14	в том	6	9
15	и др	10	9
16	все эти	2	9
17	в других	3	9
18	в то	3	9
19	не только	4	9
20	с его	2	9
21	ничего не	4	9
22	и т	41	8
23	и их	2	8
24	но и	4	8
25	как и	3	8
26	все же	7	6
27	в частности	2	6
28	это не	6	6
29	например в	2	6
30	не может	14	6
31	так же	3	6
32	в результате	7	6
33	так как	16	6
34	с этим	11	6
35	связи с	10	6
36	во всех	4	6
37	то что	8	6
38	как в	3	6
39	что в	8	5
40	и другие	6	5
41	в образе	4	5
42	не в	3	5
43	в пределах	3	5
44	в связи	9	5
45	время как	3	5
46	точки зрения	2	5
47	но все	3	5
48	если бы	2	5
49	но не	4	5
50	еще не	3	5
51	наряду с	5	5
52	он не	3	5
53	отношению к	4	5
54	того чтобы	3	5
55	для того	2	5
56	могут быть	16	5
57	не имеет	2	4
58	потому что	3	4
59	между собой	4	4
60	то время	3	4
61	том что	4	4
62	и для	2	4
63	только в	2	4
64	здесь не	2	4
65	в основу	2	3
66	не могут	4	3
67	себя и	2	3
68	в этих	13	3
69	к тому	4	3
70	с тем	2	3
71	хотя и	3	3
72	один из	5	3
73	в форме	6	3
74	по отношению	4	3
75	друг друга	3	3
76	а в	7	3
77	сказать что	2	3
78	в начале	3	3
79	его в	2	3
80	ни к	2	3
81	к этому	3	3
82	же в	2	3
83	в качестве	5	3
84	в сущности	3	3
85	что и	7	3
86	а не	11	3
87	мы не	8	3
88	мы видим	13	3
89	или в	4	3
90	во всяком	2	3
91	и ее	3	3
92	входит в	2	3
93	и вне	3	3
94	совсем не	3	2
95	мы будем	3	2
96	в нашем	3	2
97	до наших	2	2
98	его и	2	2
99	с другой	8	2
100	никто не	3	2
101	вопрос о	7	2
102	за другом	2	2
103	для нас	2	2
104	в глаза	2	2
105	смысле слова	4	2
106	но для	2	2
107	в целом	3	2
108	в некоторых	3	2
109	во втором	3	2
110	того что	3	2
111	по функциям	2	2
112	и по	2	2
113	в которых	2	2
114	друг на	2	2
115	или не	3	2
116	также и	4	2
117	на друга	2	2
118	что мы	2	2
119	мы должны	3	2
120	друг за	2	2
121	тех же	4	2
122	друг к	2	2
123	не является	3	2
124	он должен	2	2
125	ясно что	5	2
126	в различных	2	2
127	и к	4	2
128	об этом	4	2
129	в другую	2	2
130	ее по	3	2
131	одна из	4	2
132	эта форма	13	2
133	было бы	3	2
134	но оно	2	2
135	а также	4	2
136	оно не	2	2
137	этого момента	3	2
138	к другу	2	2
139	как бы	3	2
140	быть и	2	2
141	даже не	3	2
142	если мы	5	2
143	уже не	2	2
144	с точки	2	2
145	хотя бы	4	2
146	в которой	3	2
147	если они	2	2
148	тем что	4	2
149	можно назвать	3	2
150	в каком	2	2
151	ту же	2	2
152	далеко не	5	2
153	там где	5	2
