N	2gram	Voloshinov_1	Psycholo
1	то что	6	44
2	и в	13	33
3	в этом	2	28
4	как бы	6	25
5	может быть	8	22
6	том что	2	22
7	что в	3	21
8	в том	2	21
9	таким образом	6	13
10	и не	8	13
11	так же	2	13
12	все это	4	13
13	к тому	2	12
14	в самом	2	12
15	и все	3	12
16	так как	3	12
17	было бы	4	12
18	самом деле	3	12
19	не может	8	10
20	в его	7	10
21	если бы	2	10
22	то же	4	9
23	в нем	2	7
24	не только	6	7
25	что они	2	6
26	в ней	2	6
27	все эти	2	6
28	точки зрения	7	6
29	мы видим	2	6
30	мы должны	6	6
31	а не	2	6
32	в себе	3	6
33	что эта	2	6
34	самого начала	2	5
35	никогда не	3	5
36	с самого	2	5
37	в целом	2	5
38	мы не	4	5
39	вовсе не	2	5
40	мы можем	4	5
41	с этим	3	5
42	как и	3	5
43	и может	2	5
44	мы уже	2	5
45	и его	12	5
46	все же	5	5
47	и уже	3	4
48	а в	2	4
49	с этой	2	4
50	в своей	4	4
51	ее в	2	4
52	в двух	4	4
53	с точки	5	4
54	этот материал	2	4
55	только в	6	4
56	слова и	2	4
57	в которой	3	4
58	с одной	2	3
59	тот же	2	3
60	в пределах	3	3
61	одной стороны	2	3
62	вслед за	2	3
63	но и	3	3
64	понятно что	3	3
65	материала в	4	3
66	здесь мы	3	3
67	в своих	2	3
68	мы получим	2	3
69	в одном	3	3
70	говорить о	3	3
71	и этот	2	3
72	так и	3	3
73	как в	2	3
74	да и	3	3
75	во всей	2	3
76	к анализу	2	3
77	и для	3	3
78	от этого	2	3
79	тем что	2	3
80	уже в	2	2
81	материала и	3	2
82	с другой	2	2
83	прежде всего	9	2
84	со всей	3	2
85	в тех	2	2
86	при этом	2	2
87	в действительности	2	2
88	и является	2	2
89	не является	4	2
90	но мы	4	2
91	в их	3	2
92	другой стороны	2	2
93	те же	2	2
94	и наконец	5	2
95	не имеет	2	2
96	в руках	2	2
97	во всем	2	2
98	не в	3	2
99	слово в	3	2
100	но в	4	2
101	а как	2	2
102	до тех	4	2
103	в них	2	2
104	думать что	2	2
105	и к	2	2
106	в ее	3	2
107	в искусстве	3	2
108	тех пор	4	2
109	кажется что	2	2
110	ни одно	2	2
111	пор пока	3	2
112	на две	2	2
113	не на	2	2
114	при анализе	3	2
115	и эта	5	2
116	хотя бы	5	2
117	и то	3	2
118	и ее	2	2
119	героя и	2	2
