N	2gram	Tiupa_Hudo_2	Psycholo
1	то что	6	32
2	и в	28	31
3	в том	15	30
4	и т	4	26
5	что в	5	23
6	может быть	8	22
7	при этом	11	19
8	не может	4	17
9	как и	11	16
10	том что	19	16
11	и не	18	16
12	т п	2	16
13	точки зрения	2	15
14	только в	4	14
15	а не	14	13
16	не только	11	13
17	что и	4	13
18	так же	3	12
19	в этом	13	12
20	в самом	5	11
21	не в	13	11
22	отдельного человека	3	10
23	потому что	2	10
24	как в	5	9
25	самом деле	3	9
26	никогда не	5	8
27	всякий раз	3	8
28	вместе с	2	8
29	все это	3	8
30	т д	2	8
31	что он	8	7
32	и его	5	7
33	того чтобы	4	7
34	тому как	4	7
35	сказать что	2	7
36	о том	12	7
37	что это	5	6
38	вовсе не	2	6
39	одной стороны	3	6
40	было бы	3	6
41	если бы	6	6
42	из этих	2	6
43	вслед за	4	6
44	отнюдь не	2	6
45	а в	6	6
46	что она	7	6
47	для того	4	6
48	в его	11	6
49	и все	7	5
50	не является	2	5
51	в ее	18	5
52	все же	2	5
53	с одной	3	5
54	для нас	3	5
55	она не	5	5
56	несмотря на	3	5
57	как бы	5	5
58	и для	2	5
59	то же	6	5
60	с другой	3	5
61	подобно тому	4	5
62	в то	6	5
63	как будто	4	5
64	к тому	7	4
65	в котором	6	4
66	все время	3	4
67	и другие	5	4
68	прежде всего	3	4
69	тому что	4	4
70	столь же	3	4
71	в себе	9	4
72	что я	2	4
73	же как	2	4
74	одна из	2	4
75	у него	5	4
76	и о	4	4
77	один из	2	4
78	в этих	3	4
79	со стороны	3	4
80	те же	2	4
81	и у	2	4
82	между тем	8	4
83	как это	7	4
84	дело с	2	3
85	как на	2	3
86	только не	2	3
87	состоит в	7	3
88	в частности	7	3
89	конечном счете	3	3
90	его и	2	3
91	в своем	5	3
92	что у	3	3
93	в состоянии	3	3
94	та же	2	3
95	что все	3	3
96	и к	2	3
97	что на	3	3
98	мы знаем	2	3
99	тому же	2	3
100	не будет	2	3
101	но не	4	3
102	все что	3	3
103	до сих	2	3
104	противоречие с	3	3
105	в этой	5	3
106	он не	4	3
107	в конечном	4	3
108	сих пор	2	3
109	жизни и	6	3
110	в своей	6	3
111	так и	8	3
112	только на	5	3
113	который в	2	3
114	не было	6	3
115	той же	2	3
116	роль в	2	3
117	и только	2	3
118	нуждается в	2	3
119	и это	3	3
120	в художественном	4	3
121	но в	2	3
122	т е	2	3
123	в основе	2	2
124	не менее	5	2
125	и составляет	2	2
126	казалось бы	6	2
127	и состоит	3	2
128	в них	3	2
129	и от	2	2
130	человека и	3	2
131	в жизни	8	2
132	с ним	7	2
133	она в	2	2
134	тем не	4	2
135	уже не	10	2
136	себя и	2	2
137	что они	4	2
138	что даже	2	2
139	в качестве	4	2
140	по поводу	3	2
141	этого произведения	3	2
142	о чем	8	2
143	к числу	2	2
144	гораздо более	2	2
145	в нем	3	2
146	отношение к	2	2
147	из них	2	2
148	зрения на	2	2
149	но и	9	2
150	говорит о	4	2
151	что же	2	2
152	мысли и	2	2
153	приводит к	2	2
154	и тогда	2	2
155	как мы	2	2
156	как раз	4	2
157	то и	4	2
158	же самое	3	2
159	тем самым	2	2
160	к нему	3	2
161	с точки	2	2
162	ничего не	5	2
163	из нас	2	2
164	и с	6	2
165	одно из	5	2
166	приходит к	2	2
167	бы и	4	2
168	и то	2	2
169	будто бы	3	2
170	его в	2	2
171	как он	3	2
172	этими словами	2	2
173	в одном	3	2
