N	2gram	Bakhtin_sl_2	Myshleni
1	в том	5	42
2	том что	5	35
3	с помощью	4	31
4	в процессе	13	27
5	таким образом	8	25
6	точки зрения	8	24
7	в этом	16	24
8	и в	39	20
9	что в	3	19
10	в основе	4	17
11	то же	4	16
12	то что	2	15
13	не только	24	15
14	мышления и	5	14
15	как мы	7	13
16	с другой	5	12
17	при этом	7	12
18	в их	2	12
19	может быть	37	12
20	в его	7	11
21	с точки	3	11
22	в истории	11	10
23	так как	4	10
24	в отношении	4	10
25	в себе	2	10
26	только в	5	10
27	слова в	13	9
28	и другие	2	9
29	и как	3	9
30	одной стороны	5	9
31	но и	21	9
32	с одной	5	9
33	между тем	3	9
34	как это	3	9
35	как и	6	9
36	что и	3	9
37	и не	22	8
38	в результате	2	8
39	тогда когда	2	8
40	вместе с	2	8
41	в собственном	3	7
42	и более	2	7
43	как бы	7	7
44	этом отношении	3	7
45	собственном смысле	3	7
46	а не	14	7
47	того чтобы	2	7
48	могут быть	7	7
49	уже в	2	6
50	мы видели	2	6
51	не может	20	6
52	те же	2	6
53	и на	4	6
54	сказать что	3	6
55	его в	4	6
56	слово в	11	6
57	что он	2	6
58	и между	2	6
59	на каждом	2	6
60	каждом шагу	2	6
61	той же	3	6
62	перед нами	3	5
63	никогда не	7	5
64	это не	5	5
65	и его	33	5
66	с этим	2	5
67	и к	6	5
68	все же	6	5
69	о том	2	5
70	мы уже	2	5
71	так и	15	5
72	как в	13	5
73	для того	2	5
74	все эти	6	5
75	слова и	8	5
76	в нашем	2	4
77	в своем	6	4
78	как уже	2	4
79	словом и	8	4
80	для нас	5	4
81	уже сказано	2	4
82	что оно	4	4
83	роль в	2	4
84	как он	2	4
85	и с	9	4
86	и при	2	4
87	в смысле	4	4
88	в сущности	6	4
89	не в	9	4
90	и для	5	4
91	во всяком	3	4
92	которые в	2	4
93	в области	2	4
94	на этом	3	3
95	не могут	5	3
96	не менее	4	3
97	слова к	4	3
98	в этих	7	3
99	и от	3	3
100	всяком случае	2	3
101	один из	5	3
102	в связи	2	3
103	именно в	2	3
104	и других	4	3
105	на его	2	3
106	оно может	2	3
107	но в	6	3
108	этом случае	6	3
109	во всем	4	3
110	чем в	2	3
111	но не	6	3
112	со всеми	2	3
113	с таким	2	3
114	себя в	8	3
115	слова не	4	3
116	ни в	4	3
117	в виде	2	3
118	связи с	3	3
119	в чем	3	3
120	может не	2	2
121	должна быть	3	2
122	прежде всего	8	2
123	свою очередь	2	2
124	на нем	2	2
125	в свою	3	2
126	для него	7	2
127	одним из	2	2
128	в ней	3	2
129	в него	7	2
130	в нем	19	2
131	к нему	3	2
132	отличается от	2	2
133	в отличие	12	2
134	они не	2	2
135	мы наблюдаем	2	2
136	факт что	2	2
137	а в	4	2
138	не знает	2	2
139	также и	2	2
140	новое слово	2	2
141	в данном	2	2
142	и здесь	2	2
143	но как	2	2
144	у него	3	2
145	стороны и	3	2
146	в историческом	2	2
147	с которым	2	2
148	речи не	2	2
149	между словом	3	2
150	зависимости от	4	2
151	со словом	5	2
152	еще не	7	2
153	далеко не	2	2
154	а также	3	2
155	даже в	2	2
156	и речи	2	2
157	и т.п	2	2
158	в языке	2	2
159	входит в	4	2
160	того как	2	2
161	в той	4	2
162	слово и	5	2
163	в слове	6	2
164	в таком	4	2
165	ту же	3	2
166	может стать	2	2
167	на котором	2	2
168	здесь не	4	2
169	отличие от	13	2
170	из него	2	2
