N	2gram	Vinokur_Ku_3	UchenyiS
1	и в	23	14
2	а не	11	10
3	не только	17	10
4	и не	10	8
5	прежде всего	9	8
6	то что	4	7
7	в этом	16	7
8	не может	6	7
9	может быть	14	6
10	хотя бы	9	5
11	все это	2	5
12	и только	3	5
13	то же	6	5
14	но и	3	4
15	в их	6	4
16	в россии	2	4
17	конечно не	2	4
18	с другой	7	4
19	что такое	4	4
20	но в	2	3
21	как и	5	3
22	все же	5	3
23	в своей	4	3
24	в частности	2	3
25	очевидно что	3	3
26	для этого	6	3
27	другой стороны	3	3
28	это не	3	3
29	в то	3	3
30	не как	2	3
31	было бы	16	3
32	в области	14	3
33	не о	2	3
34	у нас	10	3
35	смысле этого	2	2
36	том что	11	2
37	но не	3	2
38	в том	22	2
39	не все	2	2
40	по существу	3	2
41	мы не	3	2
42	не есть	3	2
43	не в	5	2
44	но это	5	2
45	бы и	3	2
46	должна быть	3	2
47	не столько	4	2
48	о чем	2	2
49	если бы	8	2
50	не случайно	4	2
51	нас в	3	2
52	это уже	3	2
53	только в	6	2
54	и с	3	2
55	тем что	5	2
56	сих пор	8	2
57	могут быть	6	2
58	что он	6	2
59	все они	2	2
60	вопроса о	3	2
61	как раз	4	2
62	до сих	8	2
63	формы и	3	2
64	что мы	2	2
65	что все	2	2
66	и через	2	2
67	в самом	13	2
68	не могут	5	2
69	по себе	6	2
70	в некоторых	2	2
71	ничего не	6	2
72	самом деле	14	2
73	что она	5	2
74	что и	6	2
75	в его	11	2
76	более чем	2	2
77	между тем	4	2
78	приемов и	2	2
79	таким образом	9	2
80	материал для	2	2
81	как таковой	2	2
