N	2gram	Berdyaev_N_1	Vladivir
1	и в	16	30
2	то что	4	20
3	в этом	7	20
4	у него	2	19
5	в том	8	18
6	и не	11	18
7	и с	2	14
8	том что	2	12
9	что в	9	12
10	не только	5	12
11	а в	2	11
12	сказать что	3	11
13	и даже	2	10
14	не было	4	10
15	не в	6	9
16	потому что	4	9
17	не может	16	9
18	в то	2	9
19	вместе с	2	8
20	но и	3	8
21	но в	2	8
22	не менее	4	7
23	никогда не	6	7
24	и все	4	7
25	ни в	6	7
26	может быть	7	7
27	а не	17	7
28	как это	2	7
29	хотя и	2	6
30	прежде всего	4	6
31	и к	5	6
32	в себе	2	6
33	жизни и	8	6
34	как и	7	5
35	в своей	3	5
36	так и	2	5
37	все это	5	5
38	с этим	2	5
39	и что	2	5
40	все эти	2	5
41	совсем не	12	4
42	с его	6	4
43	я не	2	4
44	конечно не	3	4
45	и мы	4	4
46	в ней	5	4
47	он не	8	4
48	в нем	5	4
49	не есть	3	4
50	так же	2	4
51	и на	2	4
52	но это	6	4
53	о том	4	4
54	это было	3	4
55	в них	4	3
56	хотя бы	2	3
57	быть в	2	3
58	по существу	2	3
59	но не	2	3
60	и для	4	3
61	во всех	3	3
62	как в	3	3
63	уже не	2	3
64	должно быть	4	3
65	и это	2	3
66	в россии	3	3
67	когда мы	2	3
68	не могли	2	3
69	в русском	2	2
70	с тем	3	2
71	и есть	10	2
72	жизни в	3	2
73	это не	4	2
74	и от	2	2
75	к тому	3	2
76	по своему	4	2
77	она не	3	2
78	такого рода	2	2
79	не могла	2	2
80	в будущем	2	2
81	том чтобы	2	2
82	и потому	4	2
83	время как	2	2
84	не имеет	4	2
85	себя в	2	2
86	наряду с	3	2
87	можно назвать	2	2
88	бытия в	2	2
89	стремится к	3	2
90	того чтобы	2	2
91	можно было	2	2
92	мысли и	2	2
93	как будто	2	2
94	мы не	2	2
95	в новом	2	2
