N	2gram	Losev_Vesc_1	EvropaiE
1	и в	21	37
2	в отношении	4	32
3	точки зрения	5	23
4	что в	9	21
5	не только	36	18
6	с точки	3	17
7	в то	3	16
8	хотя бы	6	15
9	то же	6	15
10	в своем	6	14
11	но и	18	14
12	и не	29	14
13	но в	5	14
14	в этом	4	12
15	в том	8	11
16	так и	3	10
17	отнюдь не	5	9
18	прежде всего	9	9
19	в смысле	12	9
20	не может	17	9
21	т е	55	9
22	в себе	14	9
23	только в	14	9
24	к тому	3	8
25	в ее	7	8
26	одной стороны	3	8
27	было бы	14	8
28	в своей	5	8
29	с одной	3	8
30	как и	8	7
31	между прочим	3	7
32	того что	8	7
33	с другой	6	7
34	также и	6	7
35	так как	7	7
36	с этой	4	6
37	вовсе не	10	6
38	том что	8	6
39	стороны и	2	6
40	может быть	16	6
41	для того	2	6
42	на то	4	6
43	как бы	12	6
44	в последние	2	6
45	то что	27	6
46	во всех	2	6
47	того чтобы	3	6
48	и даже	6	6
49	не в	5	5
50	но не	5	5
51	но если	8	5
52	со стороны	5	5
53	как мы	4	5
54	в той	3	5
55	от этого	2	5
56	в россии	2	5
57	и потому	5	5
58	ни было	4	4
59	независимо от	5	4
60	но даже	3	4
61	то ни	4	4
62	можно сказать	6	4
63	бы то	4	4
64	в самом	9	4
65	то в	4	4
66	в ней	12	4
67	к ней	2	4
68	той или	2	4
69	по себе	13	4
70	для нас	2	4
71	мы не	6	4
72	и притом	3	4
73	сказать что	17	4
74	как это	2	4
75	в сфере	4	3
76	но на	2	3
77	с тем	5	3
78	можно ли	7	3
79	никогда не	2	3
80	вообще не	2	3
81	и от	3	3
82	это так	3	3
83	или иную	2	3
84	ли это	7	3
85	применении к	2	3
86	мы можем	4	3
87	в свою	4	3
88	того же	5	3
89	бы ни	2	3
90	ту или	2	3
91	из них	4	3
92	всяком случае	2	3
93	себе не	3	3
94	и тем	3	3
95	что и	3	3
96	не будет	12	3
97	бы и	5	3
98	и только	3	3
99	последние годы	2	3
100	и для	9	3
101	можно было	2	3
102	не из	2	3
103	в результате	3	3
104	потому что	16	3
105	во всяком	3	3
106	тем что	2	3
107	ни на	3	3
108	себе в	3	3
109	в данном	5	3
110	о том	6	3
111	дело в	4	3
112	что все	2	2
113	а не	19	2
114	еще более	2	2
115	сравнению с	6	2
116	по сравнению	7	2
117	с в	2	2
118	во втором	2	2
119	и во	3	2
120	с этим	3	2
121	и все	5	2
122	в одном	2	2
123	из того	2	2
124	есть не	14	2
125	и эта	3	2
126	что на	2	2
127	не нужно	2	2
128	как же	3	2
129	всех прочих	3	2
130	и того	2	2
131	есть ли	6	2
132	и как	8	2
133	это значит	24	2
134	в силу	3	2
135	свою очередь	4	2
136	между ними	3	2
137	должна быть	4	2
138	но именно	2	2
139	что это	13	2
140	и если	2	2
141	она не	4	2
142	в потенции	2	2
143	но еще	3	2
144	по преимуществу	2	2
145	в его	2	2
146	мог бы	5	2
147	и этот	2	2
148	в котором	3	2
149	только к	2	2
150	не есть	49	2
151	с а	4	2
152	при помощи	2	2
153	только одно	2	2
154	жизни и	2	2
155	данном случае	2	2
156	что же	8	2
157	а в	4	2
158	таким образом	8	2
159	если бы	5	2
160	но с	2	2
161	и что	15	2
162	другой стороны	2	2
163	и тут	3	2
164	с другими	8	2
165	мы видим	2	2
166	или в	2	2
167	прочим и	2	2
168	и чем	3	2
169	и с	8	2
170	хотя и	4	2
171	и еще	2	2
172	в этой	3	2
173	ведь и	5	2
174	и то	10	2
175	по своей	2	2
176	мы должны	2	2
177	как оно	3	2
178	бы в	5	2
179	то не	4	2
180	нечто абсолютно	2	2
181	тогда когда	5	2
