N	2gram	Voloshinov_1	Problemy
1	и в	12	46
2	и не	10	27
3	может быть	14	23
4	как бы	13	19
5	не может	16	19
6	в нем	6	17
7	в этом	4	16
8	не только	4	14
9	но и	3	12
10	как и	5	12
11	и на	4	11
12	точки зрения	14	11
13	а не	5	11
14	не в	4	10
15	в пределах	3	10
16	между ними	2	10
17	прежде всего	8	9
18	в том	6	9
19	в самом	4	9
20	и все	2	9
21	и к	4	9
22	в его	2	9
23	с точки	2	9
24	до сих	3	8
25	конечно не	3	8
26	сих пор	3	8
27	и с	3	7
28	по себе	3	7
29	еще не	3	7
30	в себе	3	7
31	слова и	6	7
32	никогда не	5	6
33	ни в	3	6
34	но это	2	6
35	слово в	3	6
36	но в	5	6
37	то же	5	6
38	все это	3	6
39	и его	13	6
40	только в	6	6
41	это не	2	5
42	при этом	6	5
43	в котором	3	5
44	к нему	4	5
45	жизни и	4	5
46	по отношению	11	5
47	ведь и	3	5
48	в то	2	5
49	так как	9	5
50	в жизни	5	5
51	с его	2	5
52	за пределы	4	5
53	о том	3	5
54	если же	2	5
55	отношению к	11	5
56	уже в	2	4
57	что в	2	4
58	в этих	2	4
59	можно сказать	5	4
60	слова но	2	4
61	да и	3	4
62	до конца	2	4
63	кроме того	2	4
64	к ним	2	4
65	в виду	5	4
66	таким образом	12	4
67	все эти	3	4
68	и наконец	3	4
69	и здесь	2	4
70	мы не	3	4
71	мы можем	2	4
72	как в	5	4
73	этих двух	2	4
74	точек зрения	3	4
75	том что	5	4
76	но не	2	4
77	на границе	3	4
78	он не	2	4
79	все же	4	4
80	то что	5	4
81	в процессе	6	4
82	так и	4	4
83	в себя	2	4
84	уже не	4	4
85	самом деле	3	4
86	героя и	5	4
87	здесь не	3	4
88	и другие	2	3
89	себя и	2	3
90	в отношении	2	3
91	с другой	4	3
92	словом и	2	3
93	такой же	2	3
94	в своем	2	3
95	в формах	2	3
96	но для	3	3
97	и для	3	3
98	не к	3	3
99	отношение к	4	3
100	другой стороны	2	3
101	так же	3	3
102	с помощью	6	3
103	имеем в	2	3
104	но этот	2	3
105	мы имеем	2	3
106	если бы	9	3
107	в условиях	2	3
108	более того	2	3
109	и что	2	3
110	она не	2	3
111	в своей	3	3
112	что и	2	3
113	на него	2	3
114	только на	3	3
115	дело в	4	3
116	не менее	3	2
117	должна быть	5	2
118	на все	2	2
119	его к	2	2
120	все время	6	2
121	есть уже	2	2
122	для нас	7	2
123	его как	2	2
124	как если	4	2
125	но все	2	2
126	для него	3	2
127	и следовательно	5	2
128	и является	4	2
129	к слову	2	2
130	влияние на	2	2
131	те же	2	2
132	и по	3	2
133	и совершенно	2	2
134	сказать что	7	2
135	и так	2	2
136	что мы	5	2
137	в художественном	3	2
138	с ним	3	2
139	между тем	3	2
140	но конечно	2	2
141	стороны и	2	2
142	со словом	2	2
143	выходят за	2	2
144	в корне	2	2
145	и пр	3	2
146	когда он	3	2
147	вместе с	2	2
148	бы не	2	2
149	хотя бы	5	2
150	высказывания и	2	2
151	ничего не	2	2
152	в атмосфере	2	2
153	в данном	2	2
154	тем как	2	2
155	автора и	2	2
156	могут быть	2	2
157	может стать	2	2
158	в поэзии	3	2
159	отношении к	3	2
160	там где	2	2
