N	2gram	Tiupa_Narr_1	Freidism
1	и не	23	23
2	не может	8	20
3	точки зрения	5	19
4	прежде всего	4	18
5	в этом	12	15
6	в его	6	15
7	мы можем	2	13
8	может быть	15	13
9	и его	10	12
10	как и	13	11
11	как бы	6	11
12	то что	9	11
13	так и	5	10
14	как мы	2	10
15	самом деле	3	10
16	с ним	2	10
17	но в	7	10
18	с его	4	9
19	и в	11	9
20	по отношению	3	9
21	все что	2	8
22	что он	3	8
23	отношению к	3	8
24	еще не	4	8
25	в своей	5	8
26	он не	3	8
27	не только	31	8
28	то же	8	8
29	только в	12	8
30	и все	3	8
31	к нему	4	7
32	во всяком	2	7
33	один из	6	7
34	в самом	6	7
35	сказать что	2	7
36	всяком случае	2	7
37	никогда не	4	6
38	и ее	3	6
39	для него	4	6
40	того что	4	6
41	в ней	4	6
42	так сказать	2	6
43	хотя бы	2	6
44	и с	3	6
45	на протяжении	7	6
46	он сам	3	5
47	в свою	2	5
48	можно сказать	5	5
49	не в	6	5
50	в этой	6	5
51	в чем	2	5
52	в то	4	5
53	его жизни	3	5
54	что в	3	5
55	но и	27	5
56	для того	3	5
57	а в	13	5
58	и на	5	5
59	не менее	3	4
60	но не	4	4
61	в следующей	3	4
62	в этих	2	4
63	из этих	4	4
64	в пределах	2	4
65	в жизни	3	4
66	к тому	6	4
67	об этом	6	4
68	сводится к	3	4
69	же время	4	4
70	при этом	19	4
71	и о	3	4
72	как раз	6	4
73	в зависимости	2	4
74	в нем	4	4
75	все же	4	4
76	данном случае	8	4
77	не было	3	4
78	между ними	2	4
79	уже не	8	4
80	того чтобы	4	4
81	и для	2	4
82	мы не	3	4
83	в таком	2	4
84	с ними	2	4
85	в данном	11	4
86	потому что	5	4
87	зависимости от	2	4
88	если бы	7	3
89	во втором	6	3
90	и от	2	3
91	на себя	4	3
92	к себе	4	3
93	в конечном	3	3
94	в себе	6	3
95	и как	3	3
96	по своему	2	3
97	она не	2	3
98	один и	2	3
99	ни о	2	3
100	что может	2	3
101	с ее	2	3
102	себя в	2	3
103	жизни и	6	3
104	вместе с	2	3
105	со стороны	8	3
106	как в	4	3
107	и вот	2	3
108	свою очередь	2	3
109	и т.п	8	3
110	между двумя	5	3
111	мы имеем	3	3
112	у него	7	3
113	одна из	4	3
114	не является	3	3
115	в сознании	4	3
116	этих двух	2	2
117	этого не	2	2
118	зависит от	2	2
119	человека в	2	2
120	это уже	3	2
121	быть и	2	2
122	в нашем	3	2
123	его и	2	2
124	между собой	2	2
125	матери и	4	2
126	с другой	2	2
127	это не	3	2
128	оно не	2	2
129	в конце	2	2
130	же самое	2	2
131	тем не	3	2
132	до конца	2	2
133	да и	2	2
134	том что	7	2
135	они и	2	2
136	чем он	2	2
137	не существует	3	2
138	а не	13	2
139	из них	4	2
140	во сне	2	2
141	что мы	2	2
142	но для	3	2
143	о нем	3	2
144	в своем	3	2
145	точка зрения	5	2
146	на две	2	2
147	дело не	2	2
148	сих пор	2	2
149	только на	2	2
150	от этих	2	2
151	этом отношении	3	2
152	сознания в	2	2
153	в отличие	2	2
154	тем же	2	2
155	и даже	2	2
156	и притом	2	2
157	за ними	3	2
158	отличие от	2	2
159	роль в	2	2
160	и то	3	2
161	их в	3	2
162	иным как	2	2
163	к его	2	2
164	но как	3	2
165	жизни но	2	2
166	в первом	4	2
167	до сих	2	2
168	как это	3	2
169	в области	2	2
170	это было	2	2
