N	2gram	Potebnia_M_3	Sovremen
1	не может	6	17
2	точки зрения	2	12
3	может быть	28	12
4	таким образом	14	11
5	мы не	9	9
6	в каждом	3	8
7	не можем	3	7
8	в этом	10	7
9	и в	30	7
10	каждый раз	2	6
11	и не	15	6
12	как и	10	6
13	мы можем	3	6
14	что же	2	5
15	прежде всего	3	5
16	и наконец	2	5
17	как бы	3	4
18	мы видели	4	4
19	в целом	3	4
20	жизни и	2	4
21	вместе с	12	4
22	а в	12	4
23	не только	21	4
24	в том	32	4
25	их в	2	4
26	из них	6	4
27	мы должны	4	4
28	так как	13	4
29	в системе	2	3
30	уже в	5	3
31	но мы	2	3
32	все же	2	3
33	все это	4	3
34	не подлежит	2	3
35	то же	23	3
36	в нем	9	3
37	а не	15	3
38	из двух	3	3
39	для нас	20	3
40	когда мы	2	3
41	не в	15	3
42	в этой	2	3
43	еще не	5	3
44	при этом	3	3
45	было бы	9	3
46	и мы	2	3
47	в одном	2	3
48	и все	3	3
49	в первом	3	3
50	в себе	16	3
51	в области	2	3
52	что она	3	3
53	и потому	4	3
54	так сказать	2	2
55	только один	2	2
56	не могут	5	2
57	каждого из	2	2
58	не знаем	3	2
59	что это	4	2
60	не менее	5	2
61	и есть	3	2
62	в виде	2	2
63	у него	2	2
64	на котором	2	2
65	то и	6	2
66	из этих	9	2
67	тем же	4	2
68	или же	4	2
69	что все	3	2
70	с одной	7	2
71	как мы	7	2
72	уже не	6	2
73	для развития	2	2
74	развития в	2	2
75	в свою	3	2
76	самом деле	2	2
77	и что	10	2
78	что при	3	2
79	что такое	2	2
80	и даже	2	2
81	дает нам	3	2
82	и по	4	2
83	тем не	3	2
84	той же	2	2
85	мы видим	2	2
86	в таком	3	2
87	но все	2	2
88	только одну	2	2
89	свою очередь	3	2
90	могут быть	3	2
91	с этим	6	2
92	что в	17	2
93	не дает	2	2
94	говорить о	3	2
95	в один	4	2
96	с общим	2	2
97	на его	2	2
98	в самом	8	2
99	форма в	4	2
100	в которой	3	2
101	в его	4	2
