N	3gram	Voloshinov_2	Formalny
1	с точки зрения	13	13
2	в то же	8	8
3	то же время	8	8
4	в свою очередь	5	6
5	более или менее	2	6
6	до сих пор	3	6
7	на самом деле	4	6
8	не может быть	10	5
9	с одной стороны	3	4
10	одной стороны и	2	4
11	во всяком случае	2	4
12	по отношению к	8	4
13	смысле этого слова	4	3
14	бы то ни	4	3
15	может быть и	5	3
16	но в то	5	2
17	у нас не	2	2
18	до настоящего времени	2	2
19	и пр и	4	2
20	все более и	2	2
21	и не в	3	2
22	только на почве	2	2
23	как если бы	4	2
24	и не может	3	2
25	пр и пр	3	2
26	в большинстве случаев	5	2
27	как мы видели	3	2
28	в зависимости от	2	2
29	в связи с	7	2
30	того или иного	2	2
31	более и более	2	2
