N	3gram	Medvedev_F_2	Vvedenie
1	и т д	5	36
2	для того чтобы	3	20
3	в том что	2	12
4	не может быть	10	8
5	в этом смысле	2	8
6	то же время	5	6
7	в самом деле	5	6
8	в то же	5	6
9	в применении к	2	6
10	и т п	9	5
11	с другой стороны	3	5
12	в этом отношении	7	4
13	и в этом	5	4
14	во всяком случае	5	4
15	с тем что	5	3
16	как мы видели	4	3
17	вместе с тем	4	3
18	но все же	2	3
19	в конце концов	2	2
20	с точки зрения	7	2
21	не могут быть	4	2
22	не в том	3	2
23	языка и его	5	2
24	в связи с	10	2
25	может быть и	3	2
26	что в нем	2	2
