N	2gram	Nazirov_Tv_1	VeschiIm
1	не может	4	33
2	не только	7	31
3	может быть	5	29
4	и не	7	28
5	и в	21	26
6	то что	8	24
7	значит что	2	22
8	и т	3	21
9	а не	5	20
10	что я	3	16
11	что она	2	14
12	только в	5	14
13	того что	3	13
14	но и	3	12
15	сказать что	2	12
16	есть не	2	12
17	все же	5	12
18	в себя	2	12
19	таким образом	5	11
20	общения с	2	11
21	то же	13	10
22	уже не	3	10
23	в ней	2	10
24	как бы	17	10
25	потому что	5	10
26	в том	7	9
27	в самом	3	9
28	и с	3	9
29	прежде всего	4	9
30	что не	2	9
31	но это	5	8
32	с ее	3	8
33	в себе	2	8
34	в то	15	7
35	так как	3	7
36	том что	11	7
37	не будет	2	7
38	в этом	6	7
39	так что	2	6
40	и как	4	6
41	что в	12	6
42	для него	6	6
43	но если	3	6
44	жизни и	3	6
45	но в	7	6
46	по крайней	2	6
47	крайней мере	2	6
48	с ним	3	6
49	не менее	6	5
50	это не	4	5
51	тем не	2	5
52	не в	2	5
53	из себя	2	5
54	а в	6	5
55	что для	2	5
56	как к	2	5
57	ни на	3	5
58	отнюдь не	5	5
59	в свою	7	5
60	это и	3	5
61	одна из	2	5
62	но не	3	5
63	того же	2	5
64	в чем	2	5
65	я не	3	4
66	в своем	4	4
67	с другой	3	4
68	же время	12	4
69	когда я	2	4
70	из них	2	4
71	в их	3	4
72	и даже	3	4
73	о том	6	4
74	не существует	3	4
75	и все	6	4
76	как и	12	4
77	что и	2	4
78	в данном	2	4
79	никогда не	3	3
80	можно сказать	2	3
81	к тому	2	3
82	было в	2	3
83	в нем	3	3
84	все это	10	3
85	мы находим	2	3
86	себя как	2	3
87	в жизни	2	3
88	один из	4	3
89	что он	6	3
90	и притом	2	3
91	тот же	2	3
92	по самому	2	3
93	к ней	2	3
94	себе не	2	3
95	в своей	4	3
96	вместе с	2	3
97	так и	2	3
98	только на	2	3
99	самом деле	2	3
100	хотя бы	5	3
101	не то	2	3
102	в основе	2	3
103	может не	2	2
104	это уже	5	2
105	в частности	2	2
106	человека и	4	2
107	никуда не	2	2
108	и та	2	2
109	в виду	2	2
110	и тем	2	2
111	в первой	2	2
112	но она	2	2
113	данном случае	2	2
114	но только	2	2
115	не мог	2	2
116	так же	3	2
117	в своих	5	2
118	в первом	2	2
119	ли в	2	2
120	то есть	12	2
121	жизни в	6	2
122	а затем	2	2
123	то в	2	2
124	в качестве	2	2
125	не нужно	2	2
126	об этом	2	2
127	он не	8	2
128	и когда	2	2
129	когда он	2	2
130	как в	8	2
131	мысли и	4	2
132	приводит к	2	2
133	еще более	2	2
134	в с	2	2
135	в в	2	2
136	и его	6	2
137	той же	3	2
138	не случайно	4	2
139	ту же	3	2
140	дело в	3	2
