N	2gram	Vinokur_St_1	DiskursI
1	в себе	2	19
2	при этом	2	17
3	в качестве	4	16
4	и в	44	16
5	может быть	15	16
6	как и	9	16
7	в этом	21	16
8	и не	16	15
9	а не	16	14
10	в частности	4	12
11	то есть	2	12
12	но и	10	11
13	но в	10	11
14	том что	29	10
15	не только	18	10
16	своего рода	3	10
17	со стороны	6	10
18	такого рода	2	9
19	так и	9	9
20	не может	8	9
21	в том	36	8
22	а также	2	8
23	как в	13	8
24	не менее	5	7
25	прежде всего	7	7
26	в нем	5	7
27	ни в	3	7
28	но не	3	7
29	в данном	14	7
30	еще не	3	6
31	все же	8	6
32	в своей	6	6
33	данном случае	6	6
34	то же	5	6
35	тем самым	2	6
36	в своих	2	6
37	по своей	2	6
38	а с	3	5
39	что в	30	5
40	в своем	2	5
41	с другой	9	5
42	же время	4	5
43	для него	6	5
44	то что	18	5
45	в то	9	5
46	одной стороны	2	4
47	как бы	4	4
48	отношению к	3	4
49	по отношению	3	4
50	этом отношении	7	4
51	с одной	3	4
52	потому что	6	4
53	в основе	3	4
54	можно назвать	2	4
55	одно из	2	4
56	точки зрения	11	4
57	в этой	11	4
58	и то	5	4
59	о том	17	4
60	не является	3	4
61	могут быть	5	3
62	в этих	2	3
63	столь же	4	3
64	это не	8	3
65	из этих	6	3
66	и все	2	3
67	не в	12	3
68	например в	8	3
69	он не	2	3
70	в его	9	3
71	из двух	3	3
72	в котором	5	3
73	из них	8	3
74	жизни и	5	3
75	в тексте	12	3
76	не было	4	3
77	все эти	5	3
78	также и	9	3
79	и его	8	3
80	но это	6	3
81	в другом	3	3
82	не знает	2	3
83	как будто	4	3
84	только в	10	3
85	его в	2	3
86	что ни	2	2
87	же как	3	2
88	по словам	4	2
89	никогда не	5	2
90	же касается	3	2
91	у пушкина	8	2
92	в целом	5	2
93	это в	4	2
94	или иного	4	2
95	этом случае	2	2
96	идет о	2	2
97	что на	2	2
98	в той	6	2
99	что он	10	2
100	мн др	3	2
101	который не	2	2
102	всякий раз	2	2
103	такой же	5	2
104	является не	4	2
105	есть в	2	2
106	того же	3	2
107	должна быть	3	2
108	первую очередь	2	2
109	отношение к	2	2
110	в повестях	6	2
111	в первую	2	2
112	свое время	2	2
113	в ней	3	2
114	в свое	2	2
115	для себя	3	2
116	я с	2	2
117	что и	6	2
118	с точки	8	2
119	что же	6	2
120	именно в	6	2
121	все это	5	2
122	более чем	2	2
123	другой стороны	7	2
124	и для	3	2
125	а в	17	2
126	той же	5	2
127	что как	2	2
128	совпадает с	2	2
129	в результате	3	2
130	их в	2	2
131	и с	3	2
132	говорить о	2	2
133	и это	2	2
134	дело в	6	2
135	и мн	3	2
136	в области	14	2
137	говорит об	2	2
138	мы имеем	2	2
139	между тем	3	2
