N	2gram	Propp_Morf_1	KFilosof
1	может быть	52	43
2	не может	14	27
3	и не	12	26
4	по отношению	4	25
5	и в	13	22
6	отношению к	4	21
7	а не	11	17
8	только в	2	16
9	точки зрения	2	13
10	в этом	14	13
11	но не	4	12
12	все эти	2	11
13	не в	3	11
14	к нему	3	11
15	это не	6	10
16	во всех	4	10
17	с точки	2	10
18	и есть	2	9
19	в целом	3	9
20	но и	4	9
21	как бы	3	9
22	и для	2	9
23	если бы	2	8
24	было бы	3	8
25	со стороны	3	8
26	и здесь	5	7
27	вовсе не	4	7
28	что и	7	7
29	то что	8	7
30	в том	6	6
31	но это	6	6
32	этот момент	3	6
33	и их	2	6
34	он не	3	6
35	не значит	2	6
36	уже не	2	6
37	хотя бы	4	5
38	то же	7	5
39	но все	3	5
40	не имеет	2	5
41	но как	2	5
42	его в	2	5
43	но в	2	5
44	как и	3	5
45	не только	4	5
46	все же	7	5
47	мы имеем	9	5
48	там где	5	5
49	что в	8	4
50	входит в	2	4
51	ни было	2	4
52	для нас	2	4
53	здесь мы	3	4
54	не по	2	4
55	между тем	5	4
56	том что	4	4
57	а в	7	4
58	в каком	2	4
59	независимо от	3	3
60	не менее	5	3
61	из его	2	3
62	и пр	37	3
63	и тем	2	3
64	от того	3	3
65	того что	3	3
66	в то	3	3
67	о том	2	3
68	а эта	2	3
69	мы не	8	3
70	ясно что	5	3
71	по своему	2	3
72	могла бы	4	3
73	еще не	3	3
74	быть и	2	3
75	на самом	4	3
76	самом деле	4	3
77	для того	2	3
78	к чему	3	3
79	тем что	4	3
80	могут быть	16	3
81	в другом	2	3
82	здесь не	2	3
83	и этим	5	3
84	ничего не	4	3
85	а с	2	2
86	это уже	3	2
87	его и	2	2
88	то ни	3	2
89	та же	2	2
90	прежде всего	9	2
91	вопрос о	7	2
92	тем не	5	2
93	и как	5	2
94	с этого	2	2
95	совсем не	3	2
96	он может	2	2
97	знать что	2	2
98	но для	2	2
99	себя и	2	2
100	тому что	4	2
101	себя за	2	2
102	для этой	3	2
103	а по	3	2
104	потому что	3	2
105	имеем в	6	2
106	говорить о	3	2
107	ни к	2	2
108	с его	2	2
109	с тем	2	2
110	что эта	2	2
111	к этому	3	2
112	что он	4	2
113	чему не	2	2
114	герой и	3	2
115	бы то	3	2
116	в качестве	5	2
117	но есть	3	2
118	ни одна	4	2
119	дело не	2	2
120	оно не	2	2
121	лишь с	2	2
122	так и	6	2
123	как в	3	2
124	нами в	2	2
125	в виде	2	2
126	это и	2	2
127	того чтобы	3	2
128	в этой	2	2
129	стороны ее	2	2
