N	2gram	Bakhtin_fo_2	FransuaR
1	и в	46	41
2	то есть	10	24
3	и т.п	2	19
4	мы уже	9	18
5	во всех	11	17
6	таким образом	3	17
7	в нем	5	16
8	и с	6	16
9	тела и	5	15
10	и его	12	13
11	тела в	4	13
12	но и	9	13
13	как мы	6	12
14	в этом	22	12
15	все это	6	11
16	уже говорили	4	11
17	все эти	5	11
18	прежде всего	14	10
19	не только	11	10
20	и др	5	10
21	у рабле	18	10
22	так как	6	10
23	то что	7	10
24	здесь в	6	9
25	кроме того	3	9
26	в гротескном	3	9
27	во время	10	9
28	и на	7	9
29	и все	6	9
30	о том	4	9
31	никогда не	6	8
32	в сущности	2	8
33	в этой	2	8
34	во рту	6	8
35	но в	10	8
36	у него	9	7
37	в них	7	7
38	ii гл	12	7
39	вовсе не	13	7
40	том что	4	7
41	как бы	10	7
42	и до	2	7
43	в особенности	6	7
44	кн ii	14	7
45	как и	8	7
46	что в	5	7
47	рабле и	5	7
48	в его	8	7
49	гротескного образа	2	6
50	в образе	4	6
51	что он	3	6
52	мы видим	2	6
53	один из	2	6
54	вместе с	9	6
55	в эпоху	4	6
56	с помощью	3	6
57	также и	4	6
58	в то	5	6
59	то же	8	5
60	во франции	2	5
61	в одном	7	5
62	в литературе	2	5
63	так же	2	5
64	же время	4	5
65	человеческого тела	12	5
66	и он	4	5
67	а также	3	5
68	из них	8	5
69	так и	7	5
70	в своем	5	5
71	рядом с	2	5
72	большинстве случаев	3	5
73	в той	2	5
74	тем что	3	5
75	но он	2	5
76	в себе	4	5
77	там где	2	5
78	в эпизоде	7	5
79	уже в	4	4
80	средние века	3	4
81	борьба с	3	4
82	с другой	2	4
83	та же	3	4
84	и от	2	4
85	рабле в	11	4
86	роль в	3	4
87	он был	2	4
88	iii гл	4	4
89	а затем	3	4
90	именно в	2	4
91	у нас	2	4
92	и как	3	4
93	не в	9	4
94	в средние	3	4
95	все что	2	4
96	в большинстве	3	4
97	тот же	3	4
98	рту пантагрюэля	4	4
99	в котором	4	4
100	телесной жизни	4	4
101	все же	6	4
102	не может	2	4
103	с одной	2	4
104	как в	4	4
105	того чтобы	8	4
106	и наконец	6	4
107	и даже	3	4
108	а в	3	4
109	другом месте	2	4
110	в основе	6	4
111	в другом	3	4
112	кн iii	4	4
113	того же	3	4
114	с ним	4	4
115	до того	2	3
116	связанных с	3	3
117	с этой	4	3
118	в одной	2	3
119	с этим	5	3
120	романа в	2	3
121	в духе	2	3
122	первый план	2	3
123	на первый	3	3
124	рассуждение панурга	2	3
125	мы будем	3	3
126	но это	2	3
127	брат жан	2	3
128	как у	3	3
129	до сих	2	3
130	не были	2	3
131	они были	2	3
132	было бы	2	3
133	уже сказали	3	3
134	конечно не	4	3
135	и их	4	3
136	характер носит	4	3
137	не мог	2	3
138	жизни и	8	3
139	эпизоде с	4	3
140	сих пор	2	3
141	и самый	2	3
142	и для	9	3
143	этом отношении	2	3
144	при этом	6	3
145	гаргантюа и	2	3
146	и не	9	3
147	те же	6	3
148	того что	3	3
149	между ними	2	3
150	рассказывается о	2	3
151	в данном	2	3
152	людей и	2	3
153	панурга о	6	3
154	только в	11	3
155	весь мир	3	3
156	потому что	8	3
157	все основные	2	2
158	не был	2	2
159	всех этих	7	2
160	для рабле	2	2
161	в частности	5	2
162	отчасти и	3	2
163	мы еще	3	2
164	здесь дается	2	2
165	в этих	3	2
166	все они	3	2
167	характерно что	2	2
168	i гл	15	2
169	и во	6	2
170	в конце	2	2
171	почти вовсе	2	2
172	человека и	4	2
173	что все	2	2
174	представление о	2	2
175	в индивидуальном	2	2
176	в корне	2	2
177	из самых	2	2
178	в том	10	2
179	и смерть	4	2
180	как его	2	2
181	так что	4	2
182	в дальнейшем	5	2
183	тем более	3	2
184	и самая	2	2
185	связи с	8	2
186	что они	4	2
187	сила и	2	2
188	на этом	2	2
189	но не	5	2
190	а на	2	2
191	есть и	4	2
192	до конца	2	2
193	со всеми	2	2
194	вино и	2	2
195	с едой	3	2
196	может быть	7	2
197	кн i	16	2
198	рабле дает	2	2
199	хотя и	3	2
200	он не	5	2
201	на вертеле	4	2
202	и потому	2	2
203	в главе	7	2
204	мы видели	2	2
205	в эпосе	2	2
206	в форме	3	2
207	этих образов	2	2
208	и прежде	3	2
209	наконец и	2	2
210	не на	3	2
211	полового акта	2	2
212	и другие	3	2
213	вовсе нет	2	2
214	еще более	4	2
215	для нового	2	2
216	как это	2	2
217	но эта	2	2
218	в истории	4	2
219	лишь в	2	2
220	а не	4	2
221	и у	5	2
222	с точки	8	2
223	человеческое тело	6	2
224	эти образы	2	2
225	к себе	4	2
226	каждый из	2	2
227	их в	4	2
228	точки зрения	10	2
229	из этих	4	2
230	говорить о	2	2
231	как он	2	2
232	так сказать	7	2
233	но здесь	2	2
234	мира и	9	2
235	в романе	13	2
236	мира в	3	2
