N	2gram	Berdyaev_N_1	Istorich
1	и в	16	24
2	не только	5	21
3	может быть	7	14
4	не может	16	14
5	что в	9	13
6	как в	3	12
7	в этом	7	12
8	но и	3	11
9	это не	4	10
10	у него	2	10
11	том что	2	10
12	а в	2	10
13	и что	2	10
14	с другой	3	9
15	не в	6	9
16	о том	4	9
17	потому что	4	9
18	еще не	3	8
19	все это	5	8
20	другой стороны	2	8
21	а не	17	8
22	в том	8	7
23	одна из	2	7
24	во всех	3	7
25	то что	4	7
26	вместе с	2	7
27	как и	7	6
28	так же	2	6
29	но не	2	6
30	в нем	5	6
31	он не	8	6
32	и все	4	6
33	не менее	4	5
34	одной стороны	2	5
35	так и	2	5
36	с одной	2	5
37	что она	2	5
38	но в	2	5
39	никогда не	6	4
40	по существу	2	4
41	же как	2	4
42	и не	11	4
43	не имеет	4	4
44	мы не	2	4
45	с его	6	3
46	в них	4	3
47	вопрос о	3	3
48	том чтобы	2	3
49	и даже	2	3
50	но это	6	3
51	хотя и	2	3
52	не будет	7	2
53	думать что	2	2
54	и от	2	2
55	не знал	2	2
56	прежде всего	4	2
57	в одну	2	2
58	в то	2	2
59	ни в	6	2
60	в ее	3	2
61	связаны с	2	2
62	она не	3	2
63	не имеют	2	2
64	к ним	3	2
65	но для	2	2
66	должно было	2	2
67	уже не	2	2
68	что такое	3	2
69	как это	2	2
70	время как	2	2
71	сказать что	3	2
72	в основе	3	2
73	с этим	2	2
74	и на	2	2
75	все эти	2	2
76	и это	2	2
77	конечно не	3	2
