N	2gram	Bakhtin_Pr_3	TeoriaLi
1	в мире	4	24
2	не только	10	18
3	и не	29	16
4	я в	4	16
5	а в	5	14
6	и в	34	13
7	может быть	19	12
8	так и	6	12
9	при этом	4	11
10	в этом	16	11
11	в том	3	11
12	но не	4	10
13	а не	9	10
14	и его	16	10
15	в его	22	9
16	то же	14	9
17	в душе	2	8
18	сводится к	3	8
19	что в	7	8
20	своего рода	2	8
21	отношению к	6	8
22	но и	12	8
23	по отношению	5	8
24	в себе	6	7
25	том что	3	7
26	в отличие	2	7
27	точки зрения	8	7
28	в то	12	7
29	только в	6	7
30	отличие от	2	7
31	с его	6	6
32	же время	12	6
33	еще не	4	6
34	лишь в	5	6
35	как бы	27	6
36	но в	16	6
37	однако в	2	5
38	в своем	2	5
39	или иной	2	5
40	в ее	3	5
41	как и	18	5
42	не в	9	5
43	в пределах	6	5
44	в самом	8	5
45	того или	2	5
46	в нем	19	5
47	как в	4	5
48	он не	15	5
49	уже не	2	5
50	с другой	4	5
51	между тем	3	5
52	героя и	9	5
53	не менее	3	4
54	ни в	4	4
55	в своей	3	4
56	то что	11	4
57	отношение к	6	4
58	в форме	2	4
59	не может	19	4
60	в слове	5	4
61	сказать что	2	4
62	хотя и	3	4
63	но он	3	4
64	и ее	2	4
65	говорить о	3	4
66	не знает	6	4
67	слова в	7	3
68	никогда не	8	3
69	в отношении	9	3
70	он должен	2	3
71	этом смысле	4	3
72	прежде всего	15	3
73	и к	12	3
74	тем не	2	3
75	по своему	3	3
76	для него	13	3
77	того что	5	3
78	и сам	5	3
79	мог бы	2	3
80	например в	2	3
81	в сторону	2	3
82	совпадает с	2	3
83	той или	2	3
84	и потому	2	3
85	этого слова	7	3
86	с ее	3	3
87	другой стороны	3	3
88	как раз	4	3
89	так в	2	3
90	входит в	2	3
91	таким образом	5	3
92	а с	3	3
93	в другом	8	3
94	и вот	5	3
95	и что	5	3
96	самим собой	6	3
97	и то	3	3
98	потому что	12	3
99	между двумя	2	3
100	на меня	4	3
101	отношении к	7	3
102	его в	4	3
103	все эти	4	3
104	человека с	3	3
105	герой не	2	3
106	к которому	2	3
107	я не	7	2
108	сама по	2	2
109	но на	4	2
110	о чем	2	2
111	если бы	4	2
112	за пределы	2	2
113	себя и	8	2
114	в конце	5	2
115	передо мной	3	2
116	того же	2	2
117	это не	5	2
118	о себе	18	2
119	вовсе не	11	2
120	по себе	3	2
121	что он	23	2
122	к тому	5	2
123	но как	4	2
124	и того	2	2
125	и как	3	2
126	что они	6	2
127	внутренний голос	3	2
128	в глаза	3	2
129	в большинстве	2	2
130	слове о	2	2
131	слова как	2	2
132	в виду	3	2
133	даже в	5	2
134	не с	2	2
135	к нему	14	2
136	в диалоге	5	2
137	в целом	5	2
138	слова не	2	2
139	во всех	2	2
140	вместе с	4	2
141	как к	4	2
142	и для	8	2
143	я как	2	2
144	от себя	6	2
145	это и	2	2
146	к одному	3	2
147	в той	2	2
148	с точки	4	2
149	и даже	7	2
150	так же	8	2
151	их в	3	2
152	у него	4	2
153	самим собою	9	2
154	как будто	7	2
155	без исключения	3	2
156	о том	2	2
157	и это	4	2
158	в чем	5	2
159	в которой	2	2
160	я и	2	2
161	мире и	2	2
162	к герою	7	2
163	это было	3	2
