N	2gram	Medvedev_S_1	Formalny
1	и в	3	27
2	может быть	2	25
3	таким образом	2	18
4	в этом	5	18
5	то же	2	15
6	не в	3	12
7	но и	2	10
8	не только	3	9
9	что в	2	8
10	как бы	2	8
11	то что	2	8
12	только в	2	8
13	в том	5	7
14	все это	7	7
15	в его	3	7
16	истории литературы	10	6
17	еще не	2	6
18	было бы	2	6
19	развития литературы	4	5
20	в результате	2	5
21	в смысле	2	4
22	но ведь	3	4
23	том что	2	4
24	в конце	2	3
25	для нас	3	3
26	должна быть	2	3
27	по отношению	2	3
28	и что	2	3
29	литературы и	2	3
30	отношению к	2	3
31	главным образом	2	2
32	исторического развития	2	2
33	очевидно что	2	2
34	метод в	4	2
35	дело не	2	2
36	и только	3	2
37	конце концов	2	2
38	к которому	2	2
39	за пределы	2	2
40	это и	2	2
