N	2gram	Bakhtin_KF_1	Literetu
1	а не	17	20
2	и в	24	19
3	может быть	45	17
4	то же	5	12
5	и не	26	11
6	в том	6	10
7	как и	5	10
8	но и	9	10
9	же время	2	9
10	не может	27	9
11	в мире	6	9
12	в этом	14	9
13	в то	3	9
14	не только	5	8
15	том что	4	7
16	то что	7	7
17	так и	2	7
18	и т.д	2	7
19	не менее	3	6
20	в себе	21	6
21	при этом	4	6
22	себя в	8	6
23	и на	3	6
24	я не	6	5
25	но не	12	5
26	в качестве	2	5
27	он не	6	5
28	того что	3	5
29	в принципе	2	5
30	что в	4	4
31	со мной	4	4
32	жизни в	5	4
33	прежде всего	2	4
34	не в	12	4
35	отнюдь не	6	4
36	для него	8	4
37	в ней	3	4
38	в его	40	4
39	один из	2	4
40	жизни и	8	4
41	и других	2	4
42	мы не	3	4
43	по отношению	26	4
44	тем что	3	4
45	точки зрения	12	4
46	едва ли	2	4
47	в области	2	4
48	я и	2	4
49	но лишь	6	3
50	никогда не	5	3
51	в себя	7	3
52	что он	2	3
53	в нем	28	3
54	и как	2	3
55	но это	6	3
56	в этой	2	3
57	во всех	11	3
58	отношению к	22	3
59	со стороны	7	3
60	себе и	3	3
61	в их	8	3
62	и для	9	3
63	сознания в	2	3
64	всех своих	4	3
65	тем самым	4	3
66	с точки	9	3
67	а в	4	3
68	и его	17	3
69	и то	2	3
70	всей своей	2	3
71	в данном	2	3
72	как к	2	3
73	в другом	3	3
74	и жизни	4	3
75	ничего не	3	3
76	не было	8	2
77	ни было	4	2
78	с тем	2	2
79	себя и	2	2
80	для этого	2	2
81	в виду	3	2
82	в одном	4	2
83	в жизни	2	2
84	в каждом	3	2
85	вовсе не	7	2
86	в единственном	9	2
87	жизни как	5	2
88	слово не	3	2
89	для нас	4	2
90	в ее	16	2
91	тем не	2	2
92	ко всему	5	2
93	до конца	3	2
94	еще не	4	2
95	было бы	8	2
96	нет в	4	2
97	не могу	3	2
98	мне в	4	2
99	не по	4	2
100	как бы	9	2
101	был бы	3	2
102	для себя	5	2
103	что и	7	2
104	все же	5	2
105	с ее	2	2
106	в целом	10	2
107	могут быть	3	2
108	и за	2	2
109	и только	6	2
110	быть не	2	2
111	на первом	2	2
112	уже не	7	2
113	для того	3	2
114	что не	3	2
115	из которых	2	2
116	хотя бы	4	2
117	не знает	5	2
118	в своих	3	2
119	потому что	2	2
120	в основе	5	2
121	он и	2	2
122	соответствии с	2	2
123	но как	5	2
124	что я	5	2
125	о том	3	2
126	бытия не	2	2
127	жизнь как	6	2
128	с ним	5	2
129	в него	2	2
130	себя как	2	2
131	могло бы	4	2
132	но в	5	2
133	мира в	6	2
