N	2gram	Tiupa_Hudo_1	DiskursI
1	в себе	9	19
2	при этом	13	17
3	состоит в	16	16
4	в качестве	24	16
5	и в	19	16
6	может быть	14	16
7	как и	2	16
8	в этом	11	16
9	и не	15	15
10	а не	9	14
11	в частности	13	12
12	и т.п	4	12
13	в отличие	7	12
14	отличие от	7	12
15	то есть	18	12
16	в мире	21	11
17	представляет собой	10	11
18	но и	10	11
19	тогда как	13	11
20	но в	7	11
21	том что	8	10
22	не только	16	10
23	своего рода	5	10
24	со стороны	2	10
25	такого рода	10	9
26	так и	11	9
27	не может	7	9
28	в том	18	8
29	а также	5	8
30	как в	2	8
31	в рамках	8	7
32	не менее	3	7
33	художественного письма	5	7
34	прежде всего	4	7
35	в нем	5	7
36	ни в	5	7
37	но не	11	7
38	картины мира	3	7
39	в данном	4	7
40	по мысли	2	6
41	с его	6	6
42	отнюдь не	2	6
43	себя в	7	6
44	еще не	3	6
45	в своей	5	6
46	то же	10	6
47	тем самым	4	6
48	по своей	7	6
49	ни к	2	5
50	в противоположность	3	5
51	а с	2	5
52	что в	6	5
53	в своем	2	5
54	с другой	7	5
55	нового времени	2	5
56	же время	5	5
57	для него	4	5
58	то что	4	5
59	и на	2	5
60	коммуникативного события	2	5
61	в то	6	5
62	я в	11	5
63	лирического героя	2	5
64	в одном	2	4
65	не сводится	5	4
66	к его	2	4
67	в пределах	3	4
68	художественного целого	3	4
69	одной стороны	2	4
70	как бы	9	4
71	времени в	2	4
72	отношению к	9	4
73	по отношению	9	4
74	известного рода	2	4
75	с одной	2	4
76	картина мира	5	4
77	в рассказе	3	4
78	потому что	3	4
79	в основе	4	4
80	одно из	2	4
81	точки зрения	10	4
82	в этой	2	4
83	и то	4	4
84	о том	2	4
85	мира и	2	4
86	не является	4	4
87	я и	7	4
88	жизни в	2	3
89	могут быть	4	3
90	в этих	3	3
91	в них	2	3
92	это не	2	3
93	не столько	3	3
94	из виду	2	3
95	из этих	3	3
96	или иной	7	3
97	уже не	4	3
98	и того	2	3
99	и как	3	3
100	не в	7	3
101	в контексте	3	3
102	можно сказать	5	3
103	например в	3	3
104	он не	4	3
105	той или	4	3
106	в его	9	3
107	в русской	3	3
108	к жизни	2	3
109	мире и	2	3
110	принадлежит к	3	3
111	но она	2	3
112	коммуникативное событие	2	3
113	и ее	3	3
114	присутствия в	8	3
115	в тексте	9	3
116	приводит к	5	3
117	лирический герой	5	3
118	однако при	3	3
119	иначе говоря	4	3
120	все эти	2	3
121	внутренней речи	14	3
122	с позиций	2	3
123	и его	12	3
124	всей своей	2	3
125	одного и	2	3
126	в другом	3	3
127	не знает	3	3
128	только в	5	3
129	не следует	4	3
130	жизни но	2	3
131	его в	2	3
132	мира в	2	3
133	художественное целое	2	2
134	место в	4	2
135	причастности к	2	2
136	никогда не	2	2
137	по большей	2	2
138	и одновременно	5	2
139	этического выбора	2	2
140	в целом	3	2
141	художественной целостности	3	2
142	личности в	4	2
143	как уже	2	2
144	или иного	3	2
145	большей части	2	2
146	в ходе	5	2
147	в той	3	2
148	что он	3	2
149	или субъектом	2	2
150	всякий раз	2	2
151	от лат	18	2
152	есть в	2	2
153	времени и	2	2
154	перед лицом	3	2
155	того же	2	2
156	одно и	3	2
157	рассказ о	2	2
158	отношение к	5	2
159	с их	2	2
160	в формах	2	2
161	о чем	2	2
162	несет в	2	2
163	далеко не	2	2
164	частной жизни	2	2
165	на почве	3	2
166	для себя	2	2
167	ни одно	2	2
168	я с	5	2
169	по сути	3	2
170	не с	2	2
171	что и	2	2
172	с ее	5	2
173	с точки	3	2
174	индивидуального бытия	2	2
175	русской литературе	2	2
176	в притче	2	2
177	человеческой жизни	2	2
178	не на	3	2
179	входит в	4	2
180	я как	2	2
181	именно в	2	2
182	реализуется в	2	2
183	и состоит	3	2
184	на языке	2	2
185	по преимуществу	2	2
186	в себя	2	2
187	этом мире	2	2
188	сводится к	7	2
189	все это	2	2
190	значении этого	4	2
191	объекта и	3	2
192	в принципе	5	2
193	другой стороны	5	2
194	жизни как	3	2
195	и для	2	2
196	а в	12	2
197	сверхличной заданности	2	2
198	являет собой	3	2
199	совпадает с	2	2
200	их в	3	2
201	говорить о	3	2
202	и это	2	2
203	и адресата	2	2
204	здесь не	2	2
205	в области	6	2
206	мы имеем	6	2
207	между тем	4	2
208	произведения как	3	2
