N	2gram	Losev_Prob_5	StatiiOP
1	и в	30	29
2	том что	17	27
3	в том	12	27
4	в этом	17	21
5	но и	13	19
6	что в	5	19
7	не только	18	19
8	в трагедии	4	17
9	о том	12	17
10	что он	7	13
11	в его	12	13
12	то что	18	11
13	в которой	5	11
14	к тому	2	10
15	таким образом	13	10
16	в своем	11	9
17	так и	7	9
18	и не	12	9
19	потому что	13	9
20	он не	3	9
21	по поводу	2	8
22	как раз	5	8
23	но в	9	8
24	но все	4	7
25	с тем	5	7
26	в самом	5	7
27	в ней	3	7
28	в виду	3	7
29	в котором	2	7
30	я не	2	7
31	в своей	22	7
32	вместе с	7	7
33	того как	5	7
34	для того	3	7
35	об этом	4	6
36	в одном	3	6
37	вовсе не	8	6
38	до сих	2	6
39	все же	9	6
40	и что	6	6
41	факт что	2	6
42	того чтобы	2	6
43	и его	6	6
44	и на	6	6
45	прежде всего	6	5
46	была бы	2	5
47	в качестве	4	5
48	было бы	4	5
49	обратить внимание	3	5
50	как бы	6	5
51	сих пор	2	5
52	а не	5	5
53	того что	3	5
54	между тем	2	5
55	точки зрения	10	5
56	в русской	3	5
57	именно в	3	4
58	по словам	2	4
59	в частности	4	4
60	что у	5	4
61	с другой	6	4
62	к этому	2	4
63	не в	7	4
64	после того	3	4
65	кроме того	2	4
66	и к	4	4
67	и о	5	4
68	хотя и	8	4
69	в нем	6	4
70	дело в	2	4
71	внимание на	3	4
72	еще более	3	4
73	ничего не	2	4
74	при помощи	6	4
75	обстоятельство что	2	4
76	в другом	3	4
77	связи с	7	4
78	еще до	2	4
79	и с	5	4
80	не менее	5	3
81	борьбы с	2	3
82	но он	5	3
83	по себе	2	3
84	ни в	4	3
85	не мог	4	3
86	у нас	7	3
87	так что	11	3
88	в начале	3	3
89	но не	7	3
90	никогда не	7	3
91	и даже	14	3
92	всяком случае	2	3
93	из них	2	3
94	другой стороны	6	3
95	по его	2	3
96	самом деле	2	3
97	этой поэмы	2	3
98	как в	2	3
99	а с	4	3
100	еще и	4	3
101	тем что	2	3
102	в году	5	3
103	и сейчас	2	3
104	за то	2	3
105	и он	4	3
106	хотя бы	2	3
107	так же	5	3
108	его не	2	3
109	во всяком	2	3
110	не то	2	3
111	в поэме	2	3
112	в отношении	3	2
113	и более	2	2
114	и другие	3	2
115	борьбу с	2	2
116	по этому	2	2
117	в них	2	2
118	в какой	2	2
119	с этой	2	2
120	в одной	2	2
121	если не	4	2
122	в конце	8	2
123	в духе	3	2
124	что именно	2	2
125	что и	6	2
126	находим в	2	2
127	тем не	5	2
128	на тот	2	2
129	он был	2	2
130	в ее	3	2
131	нас не	3	2
132	говорит о	7	2
133	по существу	2	2
134	как и	7	2
135	то ни	2	2
136	и как	6	2
137	в этой	10	2
138	что они	3	2
139	в то	4	2
140	и сам	4	2
141	в это	2	2
142	раз в	2	2
143	несмотря на	6	2
144	на его	2	2
145	такого рода	2	2
146	может быть	7	2
147	никак не	8	2
148	тем же	3	2
149	а также	3	2
150	еще в	5	2
151	на то	2	2
152	нет никакого	3	2
153	только в	9	2
154	ее в	2	2
155	бы то	2	2
156	не к	2	2
157	также и	12	2
158	за него	2	2
159	и речи	2	2
160	не может	5	2
161	этому поводу	2	2
162	то же	2	2
163	все эти	2	2
164	при этом	4	2
165	на первом	3	2
166	они не	2	2
167	в значительной	2	2
168	с точки	8	2
169	доказать что	2	2
170	что этот	5	2
171	в данном	2	2
172	в результате	7	2
173	сказать что	9	2
174	мере в	2	2
175	это время	2	2
176	в себе	4	2
177	и вообще	9	2
178	в период	4	2
179	сравнении с	3	2
180	его в	6	2
181	у кюхельбекера	2	2
182	и который	3	2
183	так как	6	2
184	того же	4	2
185	в области	2	2
