N	2gram	Vinokur_Vv_1	FransuaR
1	и в	27	49
2	прежде всего	8	19
3	в его	10	18
4	не только	21	17
5	и его	5	17
6	и на	3	17
7	и не	13	15
8	в этом	34	15
9	в них	4	13
10	только в	13	13
11	но и	5	13
12	как и	5	11
13	как бы	5	11
14	вовсе не	6	10
15	в этой	3	10
16	все это	6	9
17	и др	2	9
18	в нем	13	9
19	в сущности	3	8
20	отношение к	3	8
21	до нас	3	8
22	все же	8	7
23	один из	6	7
24	жизни и	2	7
25	не может	13	7
26	таким образом	19	7
27	то же	8	7
28	все эти	3	7
29	как мы	9	7
30	на протяжении	2	7
31	именно в	8	6
32	то что	17	6
33	в истории	9	6
34	же время	5	6
35	времени и	4	6
36	во всех	2	6
37	рядом с	2	6
38	с их	5	6
39	сказать что	5	6
40	и с	2	6
41	точки зрения	7	6
42	в то	5	6
43	так как	13	6
44	никогда не	3	5
45	в своем	3	5
46	уже в	5	5
47	из этих	5	5
48	в начале	3	5
49	но не	7	5
50	при этом	3	5
51	может быть	24	5
52	в своей	4	5
53	в особенности	4	5
54	с точки	2	5
55	она была	2	4
56	с другой	8	4
57	в себе	4	4
58	том что	26	4
59	но все	3	4
60	одна из	2	4
61	в свое	2	4
62	в своих	2	4
63	в этих	3	4
64	значение в	2	4
65	и до	2	4
66	сих пор	5	4
67	этот процесс	3	4
68	до сих	5	4
69	в форме	2	4
70	в известной	3	4
71	а в	5	4
72	как на	11	4
73	в области	4	4
74	тем что	6	4
75	но в	10	4
76	связана с	4	3
77	с одной	4	3
78	о чем	4	3
79	в течение	5	3
80	в одном	4	3
81	в собственном	2	3
82	что он	4	3
83	в ее	11	3
84	в г	5	3
85	в том	31	3
86	да и	4	3
87	во всем	2	3
88	большей или	2	3
89	в значительной	2	3
90	в большей	7	3
91	известной мере	2	3
92	одной стороны	4	3
93	было бы	5	3
94	из них	3	3
95	несмотря на	2	3
96	в самом	12	3
97	свое время	2	3
98	мы видели	2	3
99	другой стороны	5	3
100	этом отношении	3	3
101	и других	3	3
102	и вот	3	3
103	только с	3	3
104	к нему	2	3
105	можно было	7	3
106	или меньшей	2	3
107	также и	16	3
108	и вообще	3	3
109	о том	15	3
110	и это	6	3
111	видит в	4	3
112	в виду	4	3
113	учение о	2	2
114	связи с	3	2
115	что в	11	2
116	могут быть	4	2
117	понятно что	3	2
118	в качестве	7	2
119	средних веков	2	2
120	даже и	3	2
121	это в	2	2
122	в тех	2	2
123	можно сказать	3	2
124	в отношении	2	2
125	по существу	2	2
126	в дальнейшем	2	2
127	лишь как	2	2
128	литературы в	3	2
129	по сравнению	3	2
130	так например	6	2
131	и без	2	2
132	ничего не	2	2
133	до конца	3	2
134	еще не	4	2
135	такого рода	2	2
136	свое значение	2	2
137	одним из	5	2
138	хотя и	3	2
139	в ней	3	2
140	себе и	2	2
141	из наиболее	4	2
142	на этой	3	2
143	вместе с	6	2
144	собственном смысле	2	2
145	в их	11	2
146	должен был	4	2
147	вряд ли	2	2
148	в связи	2	2
149	того как	3	2
150	на языке	2	2
151	именно на	2	2
152	того чтобы	21	2
153	и даже	5	2
154	так же	3	2
155	другом месте	2	2
156	второй половины	3	2
157	во всяком	3	2
158	одной из	3	2
159	нуждается в	2	2
160	в другом	3	2
161	и т.д	4	2
162	сравнению с	3	2
163	в конце	3	2
164	целого и	2	2
165	здесь не	2	2
166	художественной литературы	2	2
167	всяком случае	3	2
168	мы можем	2	2
