N	2gram	Nazirov_Tv_2	Istorich
1	что он	6	24
2	и т	13	19
3	не только	13	18
4	т д	11	18
5	может быть	8	17
6	никогда не	11	15
7	и в	20	15
8	но и	8	14
9	так как	3	14
10	так же	5	13
11	что в	7	12
12	а в	4	12
13	то что	3	12
14	об этом	4	11
15	и не	9	11
16	в этом	8	11
17	что они	4	10
18	его в	3	10
19	то же	7	10
20	еще не	5	9
21	все же	5	9
22	потому что	7	9
23	один из	3	8
24	он не	3	8
25	мы видим	4	8
26	том что	4	7
27	в нем	3	7
28	вместе с	3	7
29	сих пор	3	7
30	таким образом	10	7
31	не в	4	7
32	ничего не	4	7
33	так что	2	6
34	до сих	3	6
35	наряду с	7	6
36	в его	10	6
37	как бы	11	6
38	и что	2	6
39	в том	8	6
40	только в	2	6
41	но в	4	6
42	и есть	2	5
43	прежде всего	8	5
44	в одном	2	5
45	как в	4	5
46	же как	3	5
47	в котором	3	5
48	на него	2	5
49	так и	6	5
50	что она	4	5
51	не может	7	5
52	а не	6	5
53	и наконец	2	5
54	в русской	2	5
55	к которому	2	5
56	и др	3	4
57	его и	2	4
58	показывает что	4	4
59	у него	6	4
60	но это	5	4
61	в этой	5	4
62	в одной	3	4
63	при этом	8	4
64	одной из	3	4
65	в область	3	4
66	у нее	3	4
67	связь с	2	4
68	и с	8	4
69	тем что	3	4
70	и на	5	4
71	в себе	3	4
72	все эти	4	4
73	и его	9	3
74	но если	2	3
75	о том	5	3
76	отношению к	3	3
77	когда он	4	3
78	я буду	2	3
79	в их	3	3
80	все это	6	3
81	по отношению	3	3
82	так в	2	3
83	роль в	2	3
84	мы не	4	3
85	что этот	2	3
86	и это	3	3
87	уже в	2	2
88	я не	2	2
89	зависит от	2	2
90	не было	2	2
91	могут быть	2	2
92	с другой	2	2
93	это не	7	2
94	не столько	2	2
95	не знал	2	2
96	представление о	7	2
97	что у	4	2
98	а затем	3	2
99	именно в	6	2
100	в основном	6	2
101	как и	6	2
102	такой же	2	2
103	одна из	3	2
104	но не	5	2
105	и если	2	2
106	например в	5	2
107	на его	4	2
108	из них	2	2
109	приводит к	2	2
110	в свете	3	2
111	и только	2	2
112	другой стороны	2	2
113	а с	3	2
114	человека в	3	2
115	превращается в	3	2
116	самом деле	2	2
117	тут же	2	2
118	тем самым	4	2
119	и по	2	2
120	д и	2	2
121	с другими	2	2
122	с ними	2	2
123	в которых	3	2
124	в руки	2	2
125	и ее	2	2
126	при помощи	2	2
127	нет ничего	3	2
128	так сказать	2	2
129	их в	2	2
130	только с	2	2
131	в которой	2	2
132	тому же	2	2
