N	2gram	Bakhtin_Fr_7	Problemy
1	и в	41	46
2	то есть	20	40
3	и не	7	27
4	может быть	4	23
5	как бы	7	19
6	не может	3	19
7	в нем	7	17
8	в этом	15	16
9	не только	5	14
10	и т.п	9	14
11	перед нами	2	12
12	но и	9	12
13	как и	14	12
14	как мы	11	12
15	и на	4	11
16	точки зрения	5	11
17	в одном	3	11
18	а не	2	11
19	не в	9	10
20	прежде всего	11	9
21	в том	11	9
22	в большинстве	2	9
23	и все	14	9
24	вовсе не	7	9
25	и к	5	9
26	в его	12	9
27	с точки	3	9
28	большинстве случаев	2	8
29	или в	2	8
30	и с	4	7
31	еще не	2	7
32	в сущности	4	7
33	в себе	11	7
34	никогда не	2	6
35	ни в	6	6
36	но это	3	6
37	есть в	6	6
38	хотя и	4	6
39	о нем	3	6
40	но в	8	6
41	что он	3	6
42	в романе	7	6
43	то же	13	6
44	все это	10	6
45	и его	9	6
46	только в	6	6
47	это не	6	5
48	же время	9	5
49	при этом	3	5
50	к нему	5	5
51	жизни и	3	5
52	по отношению	2	5
53	особенно в	2	5
54	рядом с	4	5
55	в то	10	5
56	так как	3	5
57	с его	2	5
58	у него	6	5
59	о том	6	5
60	отношению к	2	5
61	во всех	3	5
62	так сказать	3	5
63	том числе	4	4
64	уже в	5	4
65	что в	9	4
66	в этих	2	4
67	очень часто	3	4
68	до конца	2	4
69	кроме того	3	4
70	например в	3	4
71	в виду	4	4
72	в словах	2	4
73	в их	3	4
74	таким образом	19	4
75	все эти	13	4
76	и других	2	4
77	и наконец	4	4
78	должно быть	4	4
79	потому что	5	4
80	и здесь	4	4
81	мы не	2	4
82	не знает	3	4
83	как в	5	4
84	том что	4	4
85	он не	4	4
86	то что	8	4
87	своего рода	2	4
88	в процессе	2	4
89	так и	10	4
90	в себя	2	4
91	уже не	2	4
92	и другие	3	3
93	в отношении	3	3
94	в мире	3	3
95	такой же	3	3
96	в своем	9	3
97	более или	2	3
98	на этом	5	3
99	числе и	2	3
100	в формах	3	3
101	здесь нет	2	3
102	и для	5	3
103	отношение к	2	3
104	и их	3	3
105	и до	6	3
106	образом и	2	3
107	так же	5	3
108	с помощью	6	3
109	также и	2	3
110	но он	4	3
111	имеем в	2	3
112	но этот	3	3
113	в конце	8	3
114	как он	2	3
115	их в	2	3
116	бы в	2	3
117	мы имеем	2	3
118	здесь и	2	3
119	и во	2	3
120	с ее	3	3
121	по существу	8	3
122	того же	3	3
123	слов и	4	3
124	но именно	3	3
125	было бы	4	3
126	мы уже	12	3
127	в своей	3	3
128	что и	5	3
129	или менее	2	3
130	только на	2	3
131	еще более	2	3
132	в той	3	3
133	той же	3	3
134	жизнь и	2	3
135	тем что	3	3
136	в этой	13	3
137	и т.д	2	3
138	далеко не	2	3
139	и это	5	3
140	дело в	2	3
141	например у	2	2
142	в одной	2	2
143	переходим к	2	2
144	его к	3	2
145	к тому	2	2
146	все время	2	2
147	его как	2	2
148	следовательно и	2	2
149	и как	2	2
150	но все	4	2
151	оно и	2	2
152	для него	6	2
153	мы здесь	2	2
154	он только	2	2
155	в первой	2	2
156	на том	2	2
157	к жизни	4	2
158	целый ряд	4	2
159	влияние на	4	2
160	не было	3	2
161	свое время	2	2
162	и по	3	2
163	а в	5	2
164	в которых	2	2
165	в результате	2	2
166	и так	2	2
167	в руках	3	2
168	о котором	2	2
169	здесь только	2	2
170	с ним	2	2
171	явление в	2	2
172	поэтому и	3	2
173	и оценок	2	2
174	с этим	2	2
175	а следовательно	2	2
176	из одного	4	2
177	остановимся на	2	2
178	карнавального типа	2	2
179	одна из	4	2
180	все что	4	2
181	есть и	3	2
182	в заключение	2	2
183	в свое	2	2
184	и времени	2	2
185	вместе с	5	2
186	к самому	2	2
187	у рабле	18	2
188	никому не	2	2
189	можно было	3	2
190	ничего не	4	2
191	в данном	2	2
192	во всяком	2	2
193	от этого	3	2
194	может стать	2	2
195	ту же	2	2
196	того как	5	2
197	одном из	4	2
