N	2gram	Berdyaev_O_1	Myshleni
1	в том	5	28
2	и в	19	28
3	то что	5	28
4	в этом	12	27
5	того что	3	24
6	потому что	9	22
7	не может	4	19
8	том что	2	19
9	что он	3	18
10	что в	4	17
11	не только	11	16
12	может быть	11	13
13	сказать что	2	13
14	и не	13	11
15	как бы	3	11
16	но и	13	10
17	так как	2	10
18	того чтобы	4	10
19	было бы	3	9
20	никогда не	9	8
21	в самом	5	8
22	еще не	3	8
23	для того	3	8
24	тем что	2	8
25	в нем	10	7
26	в своем	2	7
27	отношение к	5	7
28	он не	7	7
29	в которой	2	7
30	и к	2	6
31	так что	2	6
32	для него	5	6
33	не имеет	2	6
34	его в	2	6
35	как и	6	6
36	так и	2	6
37	не могут	3	5
38	это не	3	5
39	вопрос о	10	5
40	и на	2	5
41	и все	10	5
42	но в	2	5
43	что все	2	5
44	с тем	2	5
45	могут быть	3	5
46	в этой	5	5
47	не могли	2	5
48	не в	11	4
49	что и	2	4
50	ко всем	2	4
51	и то	2	4
52	в себе	3	4
53	до конца	7	3
54	хотя и	2	3
55	движение в	2	3
56	в своих	3	3
57	с его	4	3
58	должен был	2	3
59	по себе	2	3
60	в его	7	3
61	его мысли	4	3
62	а не	11	3
63	и его	4	3
64	он сам	4	2
65	в этих	3	2
66	прежде всего	9	2
67	вместо того	2	2
68	и от	3	2
69	все это	6	2
70	о природе	3	2
71	все эти	4	2
72	в других	2	2
73	но он	7	2
74	от него	7	2
75	что у	2	2
76	с ним	3	2
77	и там	2	2
78	у него	22	2
79	различие между	3	2
80	чем в	2	2
81	в своей	2	2
82	все же	2	2
83	когда он	3	2
84	ее в	2	2
85	мысли и	3	2
86	а в	5	2
87	в другом	2	2
88	что они	2	2
