N	2gram	Trubetskoy_1	TeoriaLi
1	в мире	4	24
2	не только	9	18
3	в качестве	3	17
4	тогда как	2	16
5	и не	19	16
6	а в	5	14
7	в частности	2	13
8	и в	14	13
9	состоит в	2	13
10	может быть	9	12
11	при этом	5	11
12	в этом	17	11
13	в том	17	11
14	но не	4	10
15	а не	2	10
16	в его	4	9
17	то же	11	9
18	сводится к	3	8
19	что в	4	8
20	но и	10	8
21	по отношению	2	8
22	себя в	4	7
23	в себе	9	7
24	том что	9	7
25	в данном	7	7
26	точки зрения	11	7
27	в то	10	7
28	только в	5	7
29	место в	2	6
30	же время	10	6
31	еще не	3	6
32	лишь в	3	6
33	как бы	4	6
34	но в	2	6
35	в своем	6	5
36	или иного	2	5
37	или иной	5	5
38	как и	4	5
39	не в	4	5
40	в самом	3	5
41	того или	2	5
42	в нем	5	5
43	данном случае	3	5
44	он не	5	5
45	уже не	2	5
46	тем самым	2	5
47	между тем	5	5
48	ни в	2	4
49	более или	4	4
50	в своей	5	4
51	то что	13	4
52	или менее	4	4
53	в их	4	4
54	приводит к	4	4
55	не может	22	4
56	говорить о	3	4
57	ни к	7	3
58	в порядке	2	3
59	никогда не	5	3
60	в этих	2	3
61	он должен	5	3
62	прежде всего	8	3
63	и к	6	3
64	для него	6	3
65	того что	3	3
66	той или	3	3
67	и потому	3	3
68	на почве	2	3
69	– не	2	3
70	таким образом	11	3
71	а с	2	3
72	именно в	3	3
73	в другом	3	3
74	и вот	2	3
75	и что	2	3
76	в единое	2	3
77	и по	3	3
78	или в	3	3
79	самим собой	12	3
80	и то	4	3
81	потому что	5	3
82	в этой	4	3
83	и т.д	4	3
84	отношении к	2	3
85	его в	4	3
86	все эти	2	3
87	сама по	2	2
88	если бы	6	2
89	себя и	5	2
90	между собой	5	2
91	в конце	3	2
92	жизни в	5	2
93	по себе	2	2
94	что он	6	2
95	к тому	7	2
96	что может	3	2
97	при условии	3	2
98	и как	3	2
99	что они	3	2
100	в большинстве	3	2
101	одной из	3	2
102	из которых	5	2
103	и тем	2	2
104	к нему	2	2
105	во всех	5	2
106	вместе с	4	2
107	но она	2	2
108	со стороны	4	2
109	и для	6	2
110	и состоит	2	2
111	и о	2	2
112	с точки	9	2
113	и даже	2	2
114	так же	2	2
115	культуры в	3	2
116	их в	2	2
117	у него	2	2
118	на себя	2	2
119	как будто	2	2
120	о том	7	2
121	отношения к	2	2
122	в области	2	2
