N	2gram	Nazirov_Vr_1	Psycholo
1	то что	7	37
2	и в	8	30
3	в том	3	27
4	что в	7	24
5	и что	8	23
6	том что	3	21
7	таким образом	2	20
8	как бы	4	19
9	что он	4	17
10	на то	3	17
11	не только	9	16
12	в этом	8	14
13	так же	4	13
14	как раз	2	13
15	вместе с	2	12
16	может быть	4	11
17	о том	4	10
18	никогда не	2	9
19	не может	2	9
20	и то	2	9
21	при этом	4	8
22	и это	2	8
23	в нем	6	7
24	и как	3	7
25	все же	6	7
26	то же	5	7
27	точки зрения	2	7
28	уже в	4	6
29	в своем	3	6
30	как и	6	6
31	но и	7	6
32	по мнению	2	6
33	и не	5	6
34	и его	3	6
35	тем что	3	6
36	несмотря на	4	5
37	в этой	2	5
38	еще не	2	5
39	а с	2	5
40	рядом с	2	5
41	в своих	4	5
42	в себе	2	5
43	но в	6	5
44	ответ на	2	5
45	и все	7	4
46	чувств и	2	4
47	в своей	2	4
48	в ней	4	4
49	в его	3	4
50	в него	2	4
51	в них	2	4
52	а в	2	4
53	в конце	3	4
54	о чем	2	4
55	в виду	4	4
56	и уже	3	3
57	у него	5	3
58	что у	3	3
59	это не	4	3
60	это в	2	3
61	к этому	3	3
62	для нас	4	3
63	об этом	5	3
64	одна из	2	3
65	в свою	2	3
66	для него	2	3
67	он не	3	3
68	так в	2	3
69	в той	2	3
70	и о	3	3
71	с которым	2	3
72	целый ряд	4	3
73	человека в	3	3
74	но он	3	3
75	с его	3	2
76	в письме	5	2
77	же как	2	2
78	связи с	3	2
79	давно уже	3	2
80	на первый	2	2
81	мы знаем	2	2
82	же в	2	2
83	он был	3	2
84	в романе	6	2
85	в нашей	2	2
86	очень хорошо	2	2
87	в котором	6	2
88	его с	2	2
89	из них	2	2
90	отношения к	2	2
91	все это	4	2
92	что есть	3	2
93	с точки	2	2
94	и даже	6	2
95	и он	2	2
96	в глазах	2	2
97	и с	6	2
98	в то	5	2
99	его на	2	2
100	же не	2	2
