N	2gram	Tiupa_Lite_3	StatiiOP
1	и в	16	44
2	в том	12	36
3	что в	2	30
4	том что	8	29
5	в этом	14	21
6	то что	12	18
7	не только	14	18
8	было бы	2	17
9	а в	5	17
10	о том	6	17
11	и не	22	16
12	а не	12	16
13	может быть	12	15
14	в данном	4	14
15	в области	3	14
16	как в	5	13
17	не в	10	12
18	в первой	2	12
19	в тексте	4	12
20	у нас	2	11
21	в этой	8	11
22	самом деле	3	11
23	того чтобы	2	11
24	точки зрения	7	11
25	для того	2	10
26	что он	5	10
27	но и	14	10
28	но в	3	10
29	только в	7	10
30	с другой	6	9
31	если бы	2	9
32	в то	9	9
33	как и	5	9
34	того что	9	9
35	во второй	2	9
36	так и	9	9
37	в его	6	9
38	например в	3	8
39	во всех	2	8
40	все же	2	8
41	из них	4	8
42	не может	8	8
43	и его	6	8
44	это не	5	8
45	с точки	3	8
46	я не	2	7
47	и об	2	7
48	прежде всего	3	7
49	в самом	3	7
50	другой стороны	2	7
51	этом отношении	5	7
52	потому что	3	6
53	для него	2	6
54	что и	2	6
55	в своей	7	6
56	данном случае	4	6
57	со стороны	7	6
58	именно в	5	6
59	не менее	2	5
60	никогда не	4	5
61	так же	2	5
62	вплоть до	2	5
63	совершенно не	3	5
64	в нем	2	5
65	в целом	5	5
66	жизни и	3	5
67	той же	3	5
68	то же	9	5
69	и даже	2	5
70	в слове	3	5
71	тем что	2	5
72	уже о	3	5
73	там где	3	5
74	в частности	11	4
75	вопрос о	2	4
76	бы и	3	4
77	в ее	5	4
78	же время	7	4
79	в качестве	5	4
80	как раз	2	4
81	как бы	8	4
82	на то	2	4
83	что у	2	4
84	во втором	2	4
85	как будто	4	4
86	как это	3	4
87	в основе	5	3
88	для себя	2	3
89	и с	2	3
90	с этой	2	3
91	в конце	2	3
92	в г	3	3
93	в начале	4	3
94	то в	3	3
95	но не	4	3
96	а на	2	3
97	того же	2	3
98	еще не	6	3
99	что не	2	3
100	своего рода	10	3
101	и для	4	3
102	даже в	4	3
103	и тем	3	3
104	то это	2	3
105	отношению к	4	3
106	ни с	2	3
107	а именно	5	3
108	внимание на	2	3
109	по отношению	4	3
110	и только	2	3
111	с одной	4	3
112	но с	2	3
113	о которой	2	3
114	лишь в	5	3
115	в другом	6	3
116	если это	2	3
117	между тем	3	3
118	произведения в	3	2
119	том числе	3	2
120	в случае	2	2
121	как о	2	2
122	не всегда	2	2
123	не знаю	2	2
124	раз в	2	2
125	по существу	4	2
126	всякий раз	2	2
127	если не	2	2
128	при этом	15	2
129	и перед	2	2
130	одной стороны	4	2
131	и сам	2	2
132	со всеми	2	2
133	несмотря на	2	2
134	в сторону	3	2
135	и потому	2	2
136	а также	4	2
137	я с	3	2
138	в первом	2	2
139	отношение к	2	2
140	такого рода	10	2
141	никем не	2	2
142	отношения к	3	2
143	и тогда	2	2
144	еще и	2	2
145	из того	2	2
146	тем самым	7	2
147	так или	2	2
148	или иначе	2	2
149	не знает	2	2
150	числе и	2	2
151	в своих	2	2
152	не надо	2	2
153	одно из	4	2
154	в себе	6	2
155	по своей	3	2
156	его в	2	2
157	в иных	3	2
158	то есть	5	2
