N	2gram	Tiupa_Narr_2	Komedia
1	и в	13	22
2	и не	14	21
3	том что	13	13
4	в том	14	12
5	таким образом	5	12
6	со стороны	6	11
7	потому что	2	10
8	в самом	2	9
9	если бы	4	8
10	в своем	6	8
11	что он	5	8
12	к ней	3	8
13	в его	6	8
14	что и	2	8
15	в глазах	4	8
16	в этом	13	8
17	о том	5	8
18	о чем	2	7
19	об этом	4	7
20	при этом	14	7
21	в свою	2	7
22	то же	4	7
23	только что	2	7
24	едва ли	3	7
25	а в	9	7
26	в конце	4	7
27	во время	2	6
28	тому же	4	6
29	еще не	2	6
30	к тому	9	6
31	может быть	10	6
32	как раз	3	6
33	самом деле	3	6
34	и что	2	6
35	того чтобы	3	6
36	и его	3	6
37	в то	5	6
38	не менее	4	5
39	что в	4	5
40	же время	3	5
41	прежде всего	6	5
42	как это	4	5
43	и сам	3	5
44	хотя и	5	5
45	не только	26	5
46	в своей	4	5
47	по отношению	5	5
48	он не	5	5
49	более чем	2	5
50	к себе	7	5
51	с ним	4	5
52	но в	6	5
53	должен был	2	4
54	у него	6	4
55	отнюдь не	4	4
56	однако в	2	4
57	между собой	3	4
58	с другой	5	4
59	вовсе не	2	4
60	и здесь	2	4
61	все же	6	4
62	не в	8	4
63	несмотря на	2	4
64	в ней	2	4
65	тем более	2	4
66	и т	2	4
67	то что	8	4
68	но и	15	4
69	на него	5	4
70	что она	2	4
71	т п	2	4
72	а не	17	4
73	и для	3	4
74	так же	2	4
75	точки зрения	5	4
76	в себе	8	4
77	бы в	2	4
78	так и	9	4
79	не является	4	4
80	хотя бы	2	4
81	с его	3	3
82	в частности	11	3
83	никогда не	6	3
84	в какой	4	3
85	с этой	3	3
86	если не	2	3
87	в нем	5	3
88	далеко не	5	3
89	на то	2	3
90	и к	6	3
91	тем не	5	3
92	в ее	4	3
93	как и	4	3
94	в начале	2	3
95	в этой	4	3
96	по своему	2	3
97	все что	4	3
98	одной стороны	5	3
99	было бы	2	3
100	как бы	6	3
101	один из	3	3
102	отношению к	5	3
103	в целом	3	3
104	дело с	2	3
105	не может	8	3
106	с одной	5	3
107	в течение	2	3
108	с точки	2	3
109	столь же	2	3
110	и даже	3	3
111	не имеет	2	3
112	в других	2	3
113	представляет собой	16	3
114	говорить о	2	3
115	как он	2	3
116	ничего не	6	3
117	том как	2	3
118	пребывания в	3	2
119	состоит в	12	2
120	конечном счете	3	2
121	в герое	4	2
122	в качестве	14	2
123	чтобы в	2	2
124	как в	5	2
125	не будет	2	2
126	это не	3	2
127	нового времени	2	2
128	и все	4	2
129	но при	4	2
130	а как	3	2
131	к своему	2	2
132	о которой	3	2
133	отличие от	5	2
134	в силу	4	2
135	что они	3	2
136	что с	2	2
137	при всей	4	2
138	в произведениях	3	2
139	о любви	2	2
140	в конечном	3	2
141	а также	6	2
142	и он	2	2
143	за пределами	3	2
144	в котором	5	2
145	представляют собой	2	2
146	раз в	2	2
147	этом отношении	3	2
148	ней в	2	2
149	мы не	2	2
150	в мире	4	2
151	роль в	2	2
152	в таком	3	2
153	можно было	2	2
154	или иначе	2	2
155	в своих	2	2
156	в результате	2	2
157	тому что	3	2
158	между тем	3	2
159	в другом	4	2
160	видно что	2	2
161	здесь не	2	2
162	всего лишь	6	2
163	в области	2	2
164	из города	2	2
