N	2gram	Berdyaev_O_1	VerxiiNi
1	и в	19	26
2	с тем	2	18
3	в этом	12	15
4	как бы	3	12
5	в том	5	11
6	может быть	11	10
7	не только	11	10
8	и с	2	10
9	что в	4	9
10	но и	13	9
11	так как	2	9
12	и не	13	8
13	том что	2	7
14	к нему	3	7
15	то что	5	7
16	потому что	9	7
17	но в	2	7
18	и потому	2	6
19	что и	2	6
20	все же	2	6
21	так и	2	6
22	все это	6	6
23	все эти	4	6
24	в себе	3	6
25	о том	3	6
26	и к	2	5
27	отношение к	5	5
28	в его	7	5
29	никогда не	9	5
30	лишь в	7	5
31	а не	11	5
32	того чтобы	4	5
33	для того	3	5
34	не имеет	2	5
35	и для	2	5
36	учение о	2	4
37	должен был	2	4
38	в этих	3	4
39	и от	3	4
40	что все	2	4
41	что он	3	4
42	в нем	10	4
43	в самом	5	4
44	не может	4	4
45	а в	5	4
46	он не	7	4
47	в этой	5	4
48	подойти к	2	3
49	хотя бы	3	3
50	к этому	2	3
51	для него	5	3
52	так что	2	3
53	в своем	2	3
54	на западе	2	3
55	и нет	2	3
56	и о	2	3
57	русского народа	2	3
58	когда он	3	3
59	того что	3	3
60	в которой	2	3
61	в других	2	3
62	уже в	2	2
63	не могут	3	2
64	с его	4	2
65	он в	2	2
66	одно из	2	2
67	прежде всего	9	2
68	все что	3	2
69	еще не	3	2
70	мысль о	2	2
71	и из	2	2
72	от человека	2	2
73	ни у	2	2
74	не было	9	2
75	в самой	9	2
76	его не	2	2
77	и на	2	2
78	сказать что	2	2
79	не в	11	2
80	и все	10	2
81	в россии	5	2
