N	2gram	Losev_Vlad_3	TeoriaLi
1	в мире	2	24
2	не только	25	18
3	в качестве	3	17
4	и не	25	16
5	а в	7	14
6	и в	40	13
7	может быть	8	12
8	так и	6	12
9	то есть	24	12
10	при этом	3	11
11	в этом	16	11
12	в том	18	11
13	но не	4	10
14	а не	8	10
15	и его	10	10
16	в его	14	9
17	то же	4	9
18	сводится к	3	8
19	что в	17	8
20	такого рода	4	8
21	но и	18	8
22	в себе	9	7
23	том что	18	7
24	в отличие	3	7
25	в данном	5	7
26	точки зрения	13	7
27	по своей	2	7
28	в то	7	7
29	только в	13	7
30	как это	4	7
31	отличие от	3	7
32	с его	2	6
33	же время	2	6
34	еще не	4	6
35	как бы	3	6
36	но в	4	6
37	в своем	8	5
38	а также	8	5
39	как и	7	5
40	не в	3	5
41	в самом	4	5
42	в нем	3	5
43	данном случае	2	5
44	он не	8	5
45	уже не	9	5
46	тем самым	2	5
47	с другой	5	5
48	мы имеем	3	5
49	не менее	9	4
50	не столько	3	4
51	ни в	10	4
52	более или	5	4
53	в своей	9	4
54	то что	28	4
55	по преимуществу	2	4
56	или менее	5	4
57	в их	2	4
58	не может	14	4
59	сказать что	12	4
60	хотя и	7	4
61	а и	2	4
62	ни к	2	3
63	перед нами	3	3
64	никогда не	11	3
65	в нашем	2	3
66	в этих	2	3
67	в отношении	5	3
68	этом смысле	3	3
69	прежде всего	10	3
70	и к	2	3
71	а только	7	3
72	тем не	10	3
73	для него	8	3
74	того что	7	3
75	мог бы	4	3
76	в сторону	2	3
77	той или	2	3
78	и потому	10	3
79	на почве	2	3
80	не все	3	3
81	другой стороны	2	3
82	как раз	10	3
83	таким образом	11	3
84	а с	4	3
85	именно в	3	3
86	в другом	2	3
87	и что	8	3
88	и по	2	3
89	и то	9	3
90	потому что	11	3
91	в этой	8	3
92	его в	2	3
93	все эти	5	3
94	я не	3	2
95	но на	2	2
96	если бы	3	2
97	за пределы	3	2
98	в конце	12	2
99	того же	2	2
100	это не	3	2
101	и весьма	3	2
102	вовсе не	13	2
103	по себе	6	2
104	что он	5	2
105	к тому	7	2
106	об этом	6	2
107	при условии	2	2
108	это тоже	2	2
109	но как	2	2
110	и как	7	2
111	что каждый	2	2
112	говорит в	3	2
113	одной стороны	3	2
114	в глаза	4	2
115	одно и	2	2
116	одной из	2	2
117	к его	2	2
118	в виду	3	2
119	чем это	2	2
120	так или	2	2
121	даже в	4	2
122	и тем	3	2
123	не с	4	2
124	к нему	3	2
125	как говорит	2	2
126	в целом	2	2
127	вместе с	7	2
128	со стороны	2	2
129	могло быть	2	2
130	а именно	12	2
131	не на	2	2
132	здесь не	3	2
133	собственно говоря	3	2
134	и для	3	2
135	с одной	3	2
136	в году	10	2
137	и о	4	2
138	с точки	6	2
139	и даже	6	2
140	и притом	3	2
141	так же	8	2
142	роль в	2	2
143	или иначе	2	2
144	у него	24	2
145	на себя	2	2
146	и здесь	6	2
147	о том	11	2
148	и это	6	2
149	в чем	3	2
150	в которой	2	2
151	отношения к	5	2
152	это было	3	2
