N	2gram	Vinokur_Ku_2	UchenyiS
1	и в	23	14
2	а не	10	10
3	не только	20	10
4	и не	16	8
5	прежде всего	8	8
6	то что	9	7
7	в этом	18	7
8	вот почему	3	7
9	не может	9	7
10	может быть	15	6
11	хотя бы	9	5
12	все это	5	5
13	то же	6	5
14	но и	7	4
15	в этой	6	4
16	конечном счете	2	4
17	в их	2	4
18	конечно не	2	4
19	с другой	8	4
20	что такое	3	4
21	в конечном	2	4
22	но в	11	3
23	как и	2	3
24	и то	5	3
25	все же	7	3
26	не следует	5	3
27	в своей	2	3
28	в частности	2	3
29	очевидно что	2	3
30	для этого	3	3
31	же время	3	3
32	другой стороны	7	3
33	это не	6	3
34	вряд ли	4	3
35	в то	4	3
36	не как	2	3
37	было бы	15	3
38	этой области	4	3
39	в области	11	3
40	у нас	12	3
41	смысле этого	2	2
42	том что	11	2
43	но не	6	2
44	в том	19	2
45	не все	3	2
46	в широком	2	2
47	по существу	5	2
48	крайней мере	6	2
49	не в	8	2
50	всех этих	3	2
51	и для	2	2
52	но это	3	2
53	бы и	4	2
54	должна быть	5	2
55	этом смысле	5	2
56	если бы	12	2
57	только в	5	2
58	и с	7	2
59	но даже	2	2
60	тем что	3	2
61	могут быть	4	2
62	даже и	2	2
63	что он	5	2
64	все они	2	2
65	вопроса о	6	2
66	и у	2	2
67	как раз	3	2
68	что мы	6	2
69	пишет он	2	2
70	в конце	4	2
71	могли бы	2	2
72	этого термина	2	2
73	что все	5	2
74	этом отношении	3	2
75	в самом	12	2
76	не могут	5	2
77	меньшей степени	3	2
78	по себе	10	2
79	превращается в	2	2
80	в буквальном	2	2
81	сводится к	3	2
82	ничего не	4	2
83	самом деле	9	2
84	по крайней	6	2
85	что она	3	2
86	что и	3	2
87	в его	5	2
88	между тем	6	2
89	конце концов	3	2
90	приемов и	2	2
91	таким образом	5	2
92	материал для	2	2
