N	2gram	Losev_Vesc_1	Narrotol
1	не только	36	31
2	но и	18	27
3	и не	29	23
4	может быть	16	15
5	как и	8	13
6	а не	19	13
7	а в	4	13
8	только в	14	12
9	в этом	4	12
10	и в	21	11
11	в данном	5	11
12	и его	2	10
13	то что	27	9
14	то же	6	8
15	в том	8	8
16	данном случае	2	8
17	со стороны	5	8
18	не может	17	8
19	уже не	9	8
20	если бы	5	7
21	у него	2	7
22	том что	8	7
23	но в	5	7
24	к тому	3	6
25	об этом	3	6
26	не в	5	6
27	в самом	9	6
28	как бы	12	6
29	один из	3	6
30	жизни и	2	6
31	как раз	9	6
32	во втором	2	6
33	или в	2	6
34	в себе	14	6
35	в его	2	6
36	в этой	3	6
37	перед нами	2	5
38	можно сказать	6	5
39	той или	2	5
40	в своей	5	5
41	так и	3	5
42	потому что	16	5
43	точки зрения	5	5
44	слова в	2	4
45	никогда не	2	4
46	к себе	4	4
47	что на	2	4
48	все же	4	4
49	для него	4	4
50	то в	4	4
51	но не	5	4
52	прежде всего	9	4
53	еще не	8	4
54	в ней	12	4
55	и тем	3	4
56	в нем	2	4
57	в первом	2	4
58	из них	4	4
59	по себе	13	4
60	того что	8	4
61	того чтобы	3	4
62	или не	2	4
63	хотя и	4	4
64	в то	3	4
65	что у	5	4
66	о том	6	4
67	одна из	5	4
68	в одном	2	4
69	не менее	3	3
70	тому как	4	3
71	что в	9	3
72	в своем	6	3
73	первом случае	2	3
74	это не	5	3
75	в жизни	3	3
76	сводится к	2	3
77	тем не	3	3
78	у нас	7	3
79	и как	8	3
80	не говорит	2	3
81	самом деле	4	3
82	но именно	2	3
83	для того	2	3
84	и о	3	3
85	но для	2	3
86	быть не	4	3
87	в слове	2	3
88	мы не	6	3
89	о ней	2	3
90	и то	10	3
91	также и	6	3
92	их в	3	3
93	и с	8	3
94	подобно тому	4	3
95	и ее	18	3
96	и все	5	3
97	как это	2	3
98	мы имеем	7	3
99	отнюдь не	5	2
100	его и	2	2
101	она была	2	2
102	в конце	2	2
103	этих двух	2	2
104	в сущности	4	2
105	в свою	4	2
106	на то	4	2
107	как мы	4	2
108	да и	3	2
109	было и	2	2
110	она может	4	2
111	с ее	6	2
112	и того	2	2
113	к ее	2	2
114	свою очередь	4	2
115	между ними	3	2
116	имеем дело	3	2
117	одно и	5	2
118	она не	4	2
119	в первой	2	2
120	никак не	3	2
121	не вполне	2	2
122	всяком случае	2	2
123	оно не	3	2
124	хотя бы	6	2
125	себя в	10	2
126	не будет	12	2
127	дело не	2	2
128	в сфере	4	2
129	только на	3	2
130	другой стороны	2	2
131	только что	2	2
132	и только	3	2
133	если не	3	2
134	и сама	3	2
135	все равно	2	2
136	и вот	2	2
137	в той	3	2
138	что не	5	2
139	и даже	6	2
140	и притом	3	2
141	с другой	6	2
142	и для	9	2
143	ничего не	3	2
144	с ними	3	2
145	нас в	3	2
146	сами по	3	2
147	в результате	3	2
148	сказать что	17	2
149	во всяком	3	2
150	мы можем	4	2
151	и от	3	2
152	и еще	2	2
153	я в	2	2
154	что мы	14	2
155	на ее	3	2
156	дело в	4	2
157	ни от	5	2
158	в чем	6	2
159	с ним	8	2
160	как она	4	2
