N	2gram	Propp_Russ_1	Vladivir
1	и в	36	31
2	в году	2	30
3	не только	22	24
4	но и	16	19
5	то что	6	18
6	и не	6	17
7	у него	2	15
8	он был	2	14
9	том что	19	14
10	что в	19	14
11	в этом	12	14
12	и с	2	14
13	там же	5	13
14	в его	2	12
15	но в	2	12
16	в том	17	11
17	между прочим	2	11
18	потому что	10	11
19	о том	8	11
20	так что	2	10
21	как мы	10	9
22	а в	9	9
23	в течение	5	9
24	только в	4	9
25	в дальнейшем	2	8
26	и по	8	8
27	так как	15	8
28	в москве	3	8
29	в доме	2	7
30	об этом	9	7
31	в эти	4	7
32	и и	2	7
33	тут же	2	7
34	как это	8	7
35	е в	8	7
36	к этому	4	6
37	и к	3	6
38	у нас	8	6
39	в качестве	3	6
40	и потому	2	6
41	может быть	8	6
42	так и	7	6
43	не может	4	6
44	то же	3	6
45	и что	4	6
46	на этот	3	6
47	а с	4	5
48	все это	6	5
49	видно что	6	5
50	а также	3	5
51	что и	7	5
52	когда он	2	5
53	не было	2	5
54	в своих	2	5
55	с ним	2	5
56	в своем	3	4
57	что у	2	4
58	н г	2	4
59	в нем	2	4
60	главным образом	2	4
61	для нас	6	4
62	к ней	2	4
63	как и	10	4
64	и как	2	4
65	хотя и	2	4
66	еще в	4	4
67	один из	8	4
68	в нашем	2	4
69	в этот	10	4
70	а а	25	4
71	в особенности	2	4
72	и у	5	4
73	несмотря на	3	4
74	как он	2	4
75	в россии	4	4
76	мы увидим	8	3
77	и н	2	3
78	к тому	4	3
79	в виде	6	3
80	отнюдь не	2	3
81	в жизни	2	3
82	как в	5	3
83	увидим ниже	3	3
84	но не	2	3
85	но это	4	3
86	что они	7	3
87	но что	2	3
88	ничего не	3	3
89	и из	3	3
90	года в	2	3
91	все же	5	3
92	в целом	2	3
93	вместе с	10	3
94	только на	3	3
95	в связи	4	3
96	таким образом	6	3
97	все эти	2	3
98	в в	2	3
99	уже не	6	3
100	что этот	4	3
101	и на	10	3
102	москве и	2	3
103	с в	4	3
104	на себя	2	3
105	это время	2	3
106	и здесь	2	3
107	во время	14	3
108	то есть	3	3
109	но она	2	3
110	тем что	4	2
111	с тем	8	2
112	не менее	3	2
113	в частности	2	2
114	по этому	3	2
115	но даже	2	2
116	и м	14	2
117	в них	6	2
118	а н	18	2
119	по существу	4	2
120	на все	2	2
121	его к	2	2
122	в тех	4	2
123	именно с	2	2
124	тем не	3	2
125	судить по	2	2
126	в москву	2	2
127	на этом	3	2
128	не были	2	2
129	еще не	4	2
130	при этом	6	2
131	того что	4	2
132	в это	3	2
133	что на	4	2
134	на что	2	2
135	к жизни	3	2
136	и до	2	2
137	и т	10	2
138	и а	4	2
139	года на	2	2
140	из них	8	2
141	не будем	3	2
142	что она	2	2
143	так например	6	2
144	т д	9	2
145	и для	2	2
146	начиная с	3	2
147	и других	7	2
148	ко времени	3	2
149	с ними	5	2
150	он так	2	2
151	точки зрения	3	2
152	из этих	4	2
153	мы должны	2	2
154	всякого рода	3	2
