N	2gram	Tiupa_Disk_1	EvropaiC
1	таким образом	3	32
2	в том	23	31
3	и в	16	24
4	том что	19	20
5	не может	9	18
6	то что	5	17
7	может быть	17	15
8	все же	3	15
9	точки зрения	3	13
10	в своем	6	12
11	в этом	15	12
12	между тем	4	11
13	с этим	3	11
14	отношению к	9	10
15	как бы	5	10
16	по отношению	9	10
17	во всех	5	10
18	так и	8	10
19	при этом	13	9
20	как и	16	9
21	того же	3	9
22	что в	4	9
23	не в	7	8
24	в самом	3	8
25	и все	2	8
26	не менее	2	7
27	к тому	5	7
28	но и	14	7
29	и не	11	7
30	и что	2	7
31	по своей	11	7
32	о котором	2	7
33	о том	8	7
34	что он	4	7
35	в силу	5	7
36	или менее	2	7
37	более или	2	7
38	с другой	10	6
39	в этой	2	6
40	отличается от	2	6
41	того что	3	6
42	и на	5	6
43	что касается	2	6
44	еще не	14	6
45	что и	3	6
46	тогда как	19	6
47	только в	7	6
48	именно в	3	5
49	и без	2	5
50	столь же	3	5
51	тому же	5	5
52	что с	2	5
53	в целом	4	5
54	другой стороны	3	5
55	как к	2	5
56	потому что	4	5
57	но в	8	5
58	к этому	2	5
59	и к	4	5
60	в то	3	5
61	по своему	3	5
62	в его	7	5
63	не только	28	5
64	лишь в	4	5
65	в себе	7	5
66	далеко не	10	5
67	никогда не	2	4
68	одним из	2	4
69	хотя и	2	4
70	отношение к	4	4
71	из них	3	4
72	в их	5	4
73	между собой	2	4
74	связи с	4	4
75	иначе говоря	2	4
76	не есть	2	4
77	то же	7	4
78	а с	5	4
79	хотя бы	3	4
80	и т.д	4	4
81	с одной	9	3
82	одного и	2	3
83	в тех	2	3
84	различия между	3	3
85	в нем	9	3
86	данном случае	2	3
87	целый ряд	2	3
88	заключается в	3	3
89	и по	2	3
90	а в	5	3
91	это не	3	3
92	в начале	2	3
93	в истории	4	3
94	и потому	3	3
95	прежде всего	11	3
96	и того	3	3
97	должны быть	3	3
98	в данном	5	3
99	и вообще	2	3
100	отличие от	5	3
101	свою очередь	3	2
102	в сторону	4	2
103	в частности	9	2
104	вследствие этого	3	2
105	как мы	2	2
106	сводится к	5	2
107	для него	4	2
108	к такому	2	2
109	на этом	2	2
110	же время	4	2
111	в свою	3	2
112	одной стороны	9	2
113	том чтобы	2	2
114	к ним	3	2
115	в виду	2	2
116	в котором	5	2
117	с ее	2	2
118	на том	2	2
119	имеет место	3	2
120	них в	2	2
121	они не	2	2
122	во втором	4	2
123	в которых	4	2
124	не следует	2	2
125	одну из	2	2
126	к той	3	2
127	но как	2	2
128	не было	7	2
129	также и	3	2
130	во всяком	2	2
131	то есть	20	2
132	однако это	2	2
133	в основе	7	2
134	отнюдь не	8	2
135	в них	4	2
136	же касается	2	2
137	но не	11	2
138	не от	2	2
139	в сущности	2	2
140	как не	3	2
141	в процессе	5	2
142	что же	2	2
143	в себя	5	2
144	не более	2	2
145	то с	2	2
146	и ее	2	2
147	в другом	2	2
148	рассматривать как	2	2
149	есть в	2	2
