N	2gram	Losev_Prob_3	Literetu
1	и не	35	22
2	и в	44	16
3	при этом	4	15
4	не только	14	14
5	но и	10	14
6	в этом	17	14
7	а не	18	12
8	то что	23	12
9	может быть	28	12
10	в том	21	12
11	в частности	2	11
12	не в	13	10
13	такого рода	6	10
14	то же	13	9
15	так и	10	9
16	того что	8	9
17	в то	9	9
18	том что	12	8
19	не может	7	8
20	в этой	3	8
21	как бы	9	8
22	в своей	5	7
23	себя в	2	7
24	тем самым	5	7
25	точки зрения	5	7
26	только в	19	7
27	с другой	7	6
28	в стихотворении	2	6
29	к тому	3	6
30	еще не	5	6
31	в его	9	6
32	и его	5	6
33	в себе	8	6
34	в другом	2	6
35	о том	6	6
36	в качестве	3	5
37	это не	9	5
38	что он	9	5
39	в ее	4	5
40	как и	10	5
41	в целом	6	5
42	вместе с	2	5
43	как в	5	5
44	а именно	8	5
45	в отличие	2	5
46	а в	5	5
47	именно в	2	5
48	в основе	2	5
49	то есть	34	5
50	отличие от	3	5
51	но не	3	4
52	никогда не	6	4
53	однако в	2	4
54	по существу	2	4
55	и если	6	4
56	в начале	2	4
57	и для	2	4
58	хотя и	5	4
59	из них	2	4
60	в природе	2	4
61	данном случае	7	4
62	с одной	2	4
63	а также	4	4
64	в данном	9	4
65	как будто	3	4
66	произведения в	2	3
67	ни к	3	3
68	для его	3	3
69	отнюдь не	10	3
70	прежде всего	3	3
71	и как	3	3
72	то в	3	3
73	о чем	2	3
74	совершенно не	4	3
75	и к	6	3
76	в самом	3	3
77	однако если	3	3
78	в слове	2	3
79	искусства и	2	3
80	и тем	9	3
81	с ее	2	3
82	но уже	3	3
83	жизни и	6	3
84	уже не	7	3
85	самом деле	3	3
86	с точки	2	3
87	как на	2	3
88	потому что	25	3
89	едва ли	5	3
90	как это	2	3
91	отношения к	3	3
92	но в	12	3
93	с которой	2	2
94	художественного произведения	14	2
95	ни было	3	2
96	что в	8	2
97	не менее	10	2
98	если бы	3	2
99	все они	2	2
100	то ни	6	2
101	что у	3	2
102	как о	5	2
103	с этой	3	2
104	в конце	5	2
105	по себе	25	2
106	ни с	4	2
107	на то	3	2
108	или иной	8	2
109	в нем	9	2
110	и ее	3	2
111	же в	3	2
112	у нас	10	2
113	и при	2	2
114	связи с	8	2
115	того же	2	2
116	для него	3	2
117	можно сказать	6	2
118	было бы	8	2
119	и сам	5	2
120	жизни а	3	2
121	во всех	2	2
122	от себя	2	2
123	нас к	2	2
124	той или	12	2
125	для себя	2	2
126	то это	10	2
127	что и	9	2
128	все же	6	2
129	бы то	4	2
130	когда он	2	2
131	с ней	5	2
132	и тогда	3	2
133	как мы	8	2
134	во всей	3	2
135	так же	5	2
136	как раз	8	2
137	и только	6	2
138	художественное произведение	8	2
139	если не	3	2
140	еще и	7	2
141	но с	2	2
142	из того	3	2
143	другой стороны	5	2
144	и даже	14	2
145	мы и	2	2
146	и с	9	2
147	еще на	2	2
148	тем что	4	2
149	которой она	3	2
150	он в	2	2
151	эти слова	2	2
152	он и	2	2
153	же самое	9	2
154	могли бы	4	2
155	и вовсе	4	2
156	его в	3	2
157	и потому	7	2
158	здесь не	8	2
159	это будет	4	2
