N	2gram	Potebnia_M_4	Istorich
1	в лес	6	27
2	что он	4	24
3	и т	7	19
4	не только	10	18
5	т д	3	18
6	может быть	26	17
7	никогда не	3	15
8	и в	23	15
9	мы имеем	4	15
10	но и	11	14
11	так как	14	14
12	так же	4	13
13	что в	17	12
14	а в	5	12
15	то что	29	12
16	об этом	2	11
17	в этих	3	11
18	и не	18	11
19	в этом	23	11
20	его в	4	10
21	то же	14	10
22	этих случаях	2	10
23	с тем	7	9
24	еще не	3	9
25	и здесь	2	9
26	потому что	33	9
27	связи с	3	8
28	один из	2	8
29	он не	2	8
30	мы видим	2	8
31	мы можем	10	8
32	том что	12	7
33	в нем	7	7
34	вместе с	6	7
35	сих пор	4	7
36	таким образом	24	7
37	не в	11	7
38	видно что	4	6
39	точно так	2	6
40	так что	5	6
41	до сих	4	6
42	мы уже	3	6
43	что это	7	6
44	в его	5	6
45	как бы	5	6
46	то это	8	6
47	что и	7	6
48	и что	7	6
49	в том	23	6
50	только в	15	6
51	но в	8	6
52	и есть	3	5
53	с этим	7	5
54	в одном	4	5
55	этом случае	5	5
56	к тому	3	5
57	как в	7	5
58	она не	2	5
59	было бы	8	5
60	в котором	4	5
61	так и	6	5
62	что она	2	5
63	не может	11	5
64	а не	12	5
65	к нему	5	5
66	можно было	2	5
67	в другой	2	4
68	и др	2	4
69	вопрос о	2	4
70	для нас	14	4
71	но это	3	4
72	при этом	15	4
73	в ней	2	4
74	что эти	3	4
75	другими словами	8	4
76	пока не	2	4
77	дело не	2	4
78	того как	6	4
79	и они	2	4
80	и с	4	4
81	тем что	10	4
82	и на	3	4
83	в себе	14	4
84	мы должны	2	4
85	все эти	3	4
86	как она	2	4
87	в состоянии	2	3
88	и его	2	3
89	из этих	2	3
90	на то	7	3
91	предположить что	4	3
92	между прочим	3	3
93	по мере	7	3
94	о том	8	3
95	отношению к	8	3
96	выше мы	2	3
97	а именно	4	3
98	все это	5	3
99	по отношению	10	3
100	так в	3	3
101	после того	2	3
102	хотя в	2	3
103	эта связь	2	3
104	того что	14	3
105	мы не	8	3
106	тому как	2	3
107	подобно тому	2	3
108	что мы	10	3
109	и это	2	3
110	в других	2	3
111	здесь мы	2	3
112	же мы	2	2
113	на вопрос	4	2
114	уже в	5	2
115	во время	2	2
116	я не	2	2
117	не было	12	2
118	самого начала	2	2
119	и более	4	2
120	могут быть	7	2
121	но есть	4	2
122	на котором	4	2
123	с другой	2	2
124	мы могли	2	2
125	это не	7	2
126	и так	3	2
127	на самом	3	2
128	и вместе	3	2
129	что у	3	2
130	да и	4	2
131	именно в	3	2
132	как и	14	2
133	в нее	3	2
134	в силу	7	2
135	есть и	2	2
136	мере того	4	2
137	не что	2	2
138	кроме того	3	2
139	и может	4	2
140	того чтобы	4	2
141	и если	3	2
142	и из	3	2
143	мы в	3	2
144	например в	3	2
145	на его	3	2
146	и для	2	2
147	в сущности	2	2
148	чтобы понять	2	2
149	и когда	2	2
150	что происходит	2	2
151	хотя бы	4	2
152	и их	3	2
153	и только	3	2
154	той же	3	2
155	в разных	3	2
156	человека в	2	2
157	превращается в	2	2
158	когда мы	6	2
159	представления и	3	2
160	самом деле	3	2
161	тем самым	4	2
162	и по	3	2
163	и вполне	2	2
164	происходит в	2	2
165	с другими	4	2
166	с ними	3	2
167	и то	5	2
168	в которых	3	2
169	сказать что	8	2
170	то мы	3	2
171	она и	2	2
172	к ней	2	2
173	находится в	5	2
174	состоит в	2	2
175	что иное	2	2
176	слова в	3	2
177	в таких	2	2
178	при помощи	3	2
179	нет ничего	3	2
180	так сказать	5	2
181	иметь в	2	2
182	на нее	3	2
183	их в	3	2
184	заметить что	6	2
185	в которой	6	2
186	иное как	2	2
187	еще до	3	2
188	в виду	3	2
189	из него	2	2
