N	2gram	Vinokur_Ku_1	Komedia
1	и в	24	22
2	и не	12	21
3	т е	38	16
4	том что	21	13
5	в том	30	12
6	таким образом	12	12
7	со стороны	4	11
8	так как	9	11
9	ни в	2	10
10	потому что	23	10
11	до сих	4	9
12	в самом	10	9
13	вместе с	7	9
14	сих пор	4	9
15	если бы	9	8
16	в своем	3	8
17	что он	6	8
18	в его	12	8
19	что и	4	8
20	в этом	14	8
21	о том	9	8
22	о чем	2	7
23	при этом	6	7
24	в свою	3	7
25	то же	8	7
26	а в	5	7
27	ясно что	3	6
28	свою очередь	3	6
29	того же	4	6
30	еще не	5	6
31	для того	16	6
32	к тому	5	6
33	может быть	13	6
34	как раз	8	6
35	самом деле	9	6
36	и что	5	6
37	того чтобы	17	6
38	так что	4	6
39	и его	5	6
40	в то	2	6
41	не менее	7	5
42	связи с	7	5
43	что в	17	5
44	же время	2	5
45	прежде всего	9	5
46	то это	3	5
47	что его	2	5
48	как это	3	5
49	хотя и	3	5
50	не только	10	5
51	речь идет	2	5
52	в своей	2	5
53	из них	4	5
54	все это	6	5
55	по отношению	8	5
56	он не	2	5
57	тем что	8	5
58	любви к	2	5
59	в которых	6	5
60	к себе	4	5
61	с ним	5	5
62	но в	2	5
63	с тем	5	4
64	но все	2	4
65	с другой	7	4
66	вовсе не	10	4
67	и здесь	3	4
68	все же	12	4
69	не в	11	4
70	до конца	2	4
71	несмотря на	3	4
72	в ней	6	4
73	тем более	2	4
74	и т	33	4
75	то что	9	4
76	когда он	3	4
77	но и	6	4
78	что она	3	4
79	т п	18	4
80	меньше всего	2	4
81	с помощью	7	4
82	а не	8	4
83	и для	2	4
84	так же	4	4
85	точки зрения	14	4
86	на себя	3	4
87	в себе	3	4
88	в связи	3	4
89	бы в	7	4
90	так и	7	4
91	не является	2	4
92	хотя бы	10	4
93	и с	5	4
94	на месте	2	3
95	с его	4	3
96	в частности	4	3
97	никогда не	2	3
98	в них	7	3
99	следует что	4	3
100	в какой	6	3
101	с этой	2	3
102	с этим	4	3
103	на долю	3	3
104	себе в	3	3
105	если не	3	3
106	в нем	4	3
107	идет о	2	3
108	на то	4	3
109	нисколько не	3	3
110	тем не	4	3
111	и еще	2	3
112	как и	2	3
113	в этой	3	3
114	было бы	15	3
115	и мы	2	3
116	конечно не	2	3
117	на этот	2	3
118	как бы	7	3
119	один из	4	3
120	и мысли	2	3
121	отношению к	9	3
122	в целом	4	3
123	не может	7	3
124	все равно	2	3
125	что не	5	3
126	с точки	9	3
127	и даже	3	3
128	не имеет	2	3
129	любовь к	2	3
130	во всяком	5	3
131	но если	2	3
132	в которой	6	3
133	ничего не	2	3
134	всяком случае	5	3
135	том как	3	3
136	под влиянием	3	2
137	уже в	3	2
138	что их	2	2
139	возможность и	2	2
140	до того	2	2
141	состоит в	3	2
142	в качестве	7	2
143	чтобы в	2	2
144	как в	4	2
145	это не	7	2
146	и все	2	2
147	в одном	3	2
148	представление о	3	2
149	не могут	2	2
150	разумеется что	2	2
151	если мы	2	2
152	к своему	2	2
153	этом случае	2	2
154	в г	3	2
155	по существу	4	2
156	в силу	10	2
157	что они	4	2
158	а на	2	2
159	что с	2	2
160	в пределах	4	2
161	тот же	2	2
162	не мог	2	2
163	и если	3	2
164	на его	3	2
165	в сущности	3	2
166	одним из	2	2
167	в свое	2	2
168	и он	3	2
169	между ними	2	2
170	в котором	3	2
171	так или	2	2
172	был бы	2	2
173	должен быть	4	2
174	не с	3	2
175	трудно было	2	2
176	дело не	2	2
177	в их	3	2
178	другой стороны	6	2
179	целый ряд	5	2
180	не было	3	2
181	то обстоятельство	8	2
182	этом отношении	5	2
183	ли в	2	2
184	после чего	2	2
185	роль в	4	2
186	в таком	3	2
187	можно было	6	2
188	или иначе	2	2
189	и на	4	2
190	ли не	3	2
191	в результате	5	2
192	тому что	3	2
193	между тем	5	2
194	нуждается в	3	2
195	что касается	2	2
196	обстоятельство что	8	2
197	видно что	2	2
198	е в	2	2
199	здесь не	3	2
200	в области	7	2
201	в виду	5	2
