N	2gram	Vinokur_Ku_1	UchenyiS
1	и в	24	14
2	а не	8	10
3	не только	10	10
4	и не	12	8
5	прежде всего	9	8
6	то что	9	7
7	в этом	14	7
8	не может	7	7
9	может быть	13	6
10	хотя бы	10	5
11	все это	6	5
12	то же	8	5
13	но и	6	4
14	в этой	3	4
15	в их	3	4
16	конечно не	2	4
17	с другой	7	4
18	что такое	6	4
19	только к	2	3
20	но в	2	3
21	как и	2	3
22	и то	3	3
23	все же	12	3
24	в своей	2	3
25	в частности	4	3
26	очевидно что	3	3
27	для этого	3	3
28	формы в	2	3
29	же время	2	3
30	другой стороны	6	3
31	это не	7	3
32	в то	2	3
33	было бы	15	3
34	пришлось бы	2	3
35	в области	7	3
36	у нас	10	3
37	смысле этого	3	2
38	том что	21	2
39	но не	5	2
40	в том	30	2
41	не все	2	2
42	по существу	4	2
43	с его	4	2
44	не есть	4	2
45	крайней мере	5	2
46	не в	11	2
47	и для	2	2
48	бы и	2	2
49	должна быть	3	2
50	в противовес	3	2
51	этом смысле	3	2
52	не столько	2	2
53	о чем	2	2
54	если бы	9	2
55	не случайно	6	2
56	только в	11	2
57	и с	5	2
58	тем что	8	2
59	сих пор	4	2
60	даже и	3	2
61	что он	6	2
62	в себе	3	2
63	в системе	3	2
64	как раз	8	2
65	до сих	4	2
66	пишет он	2	2
67	могли бы	2	2
68	на эту	2	2
69	этого термина	2	2
70	что все	2	2
71	если не	3	2
72	этом отношении	5	2
73	в самом	10	2
74	в сторону	2	2
75	не могут	2	2
76	по себе	2	2
77	превращается в	2	2
78	сводится к	3	2
79	одним из	2	2
80	ничего не	2	2
81	самом деле	9	2
82	по крайней	5	2
83	что она	3	2
84	и является	4	2
85	что и	4	2
86	в его	12	2
87	между тем	5	2
88	таким образом	12	2
89	это было	2	2
90	как таковой	2	2
