N	2gram	Tiupa_Hudo_1	Poddanst
1	не только	12	17
2	и в	14	14
3	и не	2	12
4	в этом	11	10
5	н а	2	10
6	то же	9	9
7	в том	12	9
8	в качестве	9	9
9	но в	5	9
10	в пределах	3	8
11	же время	8	7
12	в то	8	7
13	только в	5	7
14	быть может	7	6
15	но и	5	6
16	в ней	4	6
17	было бы	6	6
18	не в	7	5
19	и о	4	5
20	может быть	5	5
21	же в	3	4
22	то что	8	4
23	что в	6	4
24	если бы	3	4
25	в своем	4	4
26	не может	7	4
27	по себе	2	4
28	и к	4	4
29	а в	7	4
30	том что	16	4
31	первой половины	2	4
32	в русской	4	4
33	тех кто	2	4
34	а также	3	4
35	как бы	7	4
36	и потому	2	4
37	в нем	3	3
38	и т	11	3
39	столь же	4	3
40	это не	7	3
41	т е	4	3
42	прежде всего	11	3
43	с точки	3	3
44	мы не	2	3
45	с ними	2	3
46	между тем	8	3
47	но не	3	3
48	точки зрения	5	3
49	в себе	11	3
50	потому что	5	3
51	хотя и	2	3
52	я и	2	3
53	не менее	5	2
54	в мире	3	2
55	именно в	7	2
56	в частности	5	2
57	отнюдь не	3	2
58	в е	2	2
59	со стороны	3	2
60	заключает в	2	2
61	все это	2	2
62	как раз	4	2
63	не столько	2	2
64	в тот	2	2
65	с этим	3	2
66	может и	3	2
67	с с	4	2
68	по-видимому не	2	2
69	в значительной	2	2
70	а не	12	2
71	того что	4	2
72	должно быть	2	2
73	в ее	3	2
74	говорить о	3	2
75	если в	2	2
76	одна из	2	2
77	не нужно	2	2
78	не было	4	2
79	в начале	2	2
80	из них	4	2
81	например в	2	2
82	и это	4	2
83	л а	2	2
84	никак не	2	2
85	да и	2	2
86	не о	2	2
87	в его	8	2
88	и с	4	2
