N	2gram	Vygotskiy__7	VelikijI
1	и не	18	20
2	и в	26	16
3	то что	24	9
4	так как	14	9
5	еще не	4	8
6	что они	10	7
7	и потому	3	7
8	а не	6	7
9	не есть	4	6
10	как бы	6	5
11	но и	11	5
12	все это	3	5
13	того что	14	5
14	и есть	2	4
15	что все	2	4
16	что он	8	4
17	в нем	2	4
18	как и	15	4
19	все что	6	4
20	что мы	9	4
21	в котором	4	4
22	так и	3	4
23	что не	2	4
24	потому что	16	4
25	в этом	29	4
26	в ней	3	4
27	в его	4	4
28	что в	12	3
29	по этому	4	3
30	в этих	2	3
31	в конце	4	3
32	ни в	2	3
33	в том	18	3
34	не в	4	3
35	но это	3	3
36	к тому	7	3
37	во всех	6	3
38	никогда не	4	3
39	что и	3	3
40	и против	2	3
41	в своей	3	3
42	тому что	9	3
43	лишь в	2	3
44	и что	6	3
45	не имеет	2	3
46	и для	5	3
47	должно быть	2	3
48	нас и	2	3
49	все эти	6	3
50	в чем	3	3
51	но в	4	3
52	не могут	4	2
53	с тем	5	2
54	его и	2	2
55	это не	3	2
56	прежде всего	7	2
57	что было	2	2
58	на этих	2	2
59	его к	2	2
60	для нас	2	2
61	том что	17	2
62	мы и	2	2
63	но не	3	2
64	это мы	2	2
65	для него	3	2
66	того чтобы	19	2
67	и во	4	2
68	не только	24	2
69	значения и	3	2
70	нет и	3	2
71	один из	2	2
72	но мы	3	2
73	ее в	8	2
74	всего в	2	2
75	в старой	2	2
76	тем что	9	2
77	мы не	7	2
78	а в	2	2
79	с ним	3	2
80	чтобы сделать	2	2
81	можно было	2	2
82	и то	7	2
83	является в	5	2
84	могут быть	2	2
85	только в	8	2
86	во всяком	2	2
