N	2gram	Potebnia_M_3	Morfolog
1	может быть	28	52
2	и т	5	49
3	т д	3	47
4	таким образом	14	20
5	не может	6	17
6	могут быть	3	15
7	с этим	6	14
8	и в	30	13
9	в этом	10	13
10	так как	13	12
11	перед нами	2	11
12	мы видим	2	11
13	связи с	2	11
14	заметить что	3	10
15	прежде всего	3	9
16	не всегда	2	9
17	так и	11	9
18	то же	23	9
19	и не	15	9
20	а не	15	9
21	с другой	7	8
22	что и	13	8
23	все же	2	7
24	или же	4	7
25	не могут	5	6
26	в том	32	6
27	но не	7	6
28	в форме	2	6
29	а в	12	6
30	во время	2	6
31	подобно тому	2	6
32	не менее	5	5
33	тому как	5	5
34	в образе	3	5
35	вслед за	3	5
36	далеко не	4	5
37	как бы	3	5
38	не все	4	5
39	один из	4	5
40	то что	18	5
41	или в	3	5
42	потому что	46	5
43	мы не	9	5
44	что в	17	4
45	и как	5	4
46	на котором	2	4
47	вовсе не	7	4
48	об этом	2	4
49	тем не	3	4
50	отношению к	5	4
51	было бы	9	4
52	на его	2	4
53	несмотря на	2	4
54	не только	21	4
55	то это	6	4
56	как в	10	4
57	как мы	7	4
58	другой стороны	4	4
59	так же	3	4
60	по отношению	5	4
61	как и	10	4
62	там где	3	4
63	тем что	7	4
64	точки зрения	2	4
65	могла бы	2	4
66	его в	3	4
67	в других	2	4
68	только что	8	3
69	прежде чем	2	3
70	независимо от	5	3
71	если бы	12	3
72	в начале	3	3
73	в какой	2	3
74	в последнем	3	3
75	же в	2	3
76	том что	18	3
77	но все	2	3
78	но это	6	3
79	что они	2	3
80	в целом	3	3
81	форма в	4	3
82	того чтобы	3	3
83	он не	4	3
84	в первом	3	3
85	ни в	2	3
86	но и	19	3
87	на него	3	3
88	от того	8	3
89	целый ряд	2	3
90	входит в	2	3
91	самом деле	2	3
92	первом случае	2	3
93	и по	4	3
94	к нему	3	3
95	друг друга	3	3
96	мы можем	3	3
97	из них	6	3
98	в то	10	3
99	мы должны	4	3
100	в один	4	3
101	что ни	2	2
102	если например	2	2
103	с тем	7	2
104	в виде	2	2
105	та же	2	2
106	точно так	12	2
107	что эта	2	2
108	этого не	3	2
109	к этому	3	2
110	что он	6	2
111	в собственном	2	2
112	можно сказать	3	2
113	так например	2	2
114	или с	2	2
115	и при	4	2
116	только в	21	2
117	от него	2	2
118	тем и	3	2
119	то время	4	2
120	для него	9	2
121	одной стороны	3	2
122	одной из	2	2
123	мы уже	2	2
124	никто не	3	2
125	или на	2	2
126	себя и	4	2
127	из двух	3	2
128	оно не	4	2
129	не существует	3	2
130	собственном смысле	2	2
131	или менее	3	2
132	есть нечто	4	2
133	и тогда	3	2
134	а с	2	2
135	с одной	7	2
136	и наоборот	4	2
137	и что	10	2
138	того что	18	2
139	для того	4	2
140	к другой	3	2
141	что такое	2	2
142	уже не	6	2
143	тем же	4	2
144	не имеет	6	2
145	и его	4	2
146	можно бы	4	2
147	в каком	5	2
148	самого себя	3	2
149	не знает	3	2
150	что мы	8	2
151	о том	2	2
152	в свое	2	2
153	должны будем	3	2
154	сказать что	5	2
155	более или	3	2
156	это было	3	2
