N	2gram	Propp_Isto_6	DiskursI
1	в себе	3	19
2	при этом	3	17
3	в качестве	3	16
4	и в	26	16
5	может быть	11	16
6	как и	5	16
7	в этом	12	16
8	и не	10	15
9	а не	2	14
10	в частности	3	12
11	представляет собой	2	11
12	но и	9	11
13	тогда как	2	11
14	но в	7	11
15	том что	10	10
16	не только	10	10
17	своего рода	2	10
18	со стороны	3	10
19	так и	5	9
20	не может	6	9
21	в том	12	8
22	а также	4	8
23	как в	6	8
24	прежде всего	4	7
25	в нем	8	7
26	ни в	2	7
27	но не	2	7
28	в данном	3	7
29	с его	4	6
30	еще не	9	6
31	все же	8	6
32	в своей	3	6
33	данном случае	3	6
34	то же	5	6
35	тем самым	2	6
36	в своих	3	6
37	а с	2	5
38	что в	12	5
39	в своем	2	5
40	с другой	10	5
41	героя в	2	5
42	то что	6	5
43	и на	12	5
44	в то	5	5
45	в одном	3	4
46	к этому	3	4
47	одной стороны	7	4
48	как бы	4	4
49	отношению к	2	4
50	по отношению	2	4
51	с одной	7	4
52	человека в	2	4
53	потому что	13	4
54	в этой	2	4
55	и то	3	4
56	о том	7	4
57	мира и	2	4
58	перед нами	2	3
59	могут быть	3	3
60	в этих	2	3
61	в них	3	3
62	это не	4	3
63	из этих	4	3
64	уже не	7	3
65	и как	2	3
66	не в	3	3
67	можно сказать	2	3
68	например в	7	3
69	он не	2	3
70	в его	5	3
71	в русской	6	3
72	еще в	3	3
73	в сказании	3	3
74	жизни и	2	3
75	и ее	3	3
76	не было	3	3
77	все эти	8	3
78	и наконец	3	3
79	как на	3	3
80	и его	7	3
81	об одном	2	3
82	но это	4	3
83	как будто	3	3
84	только в	5	3
85	его в	5	3
86	же как	3	2
87	никогда не	13	2
88	а потом	2	2
89	этом случае	6	2
90	стороны и	2	2
91	на первый	3	2
92	что он	9	2
93	такой же	3	2
94	того же	2	2
95	должна быть	3	2
96	это еще	3	2
97	о чем	2	2
98	живет в	2	2
99	в ней	5	2
100	далеко не	3	2
101	в свое	2	2
102	что и	4	2
103	вместе с	8	2
104	что же	2	2
105	там же	3	2
106	к своему	3	2
107	сводится к	2	2
108	другой стороны	8	2
109	а в	3	2
110	их в	3	2
111	и с	6	2
112	может иметь	2	2
113	и это	8	2
114	здесь не	2	2
115	но здесь	4	2
116	мы имеем	14	2
117	но при	2	2
