N	2gram	Nazirov_Vr_1	Problemy
1	и в	8	46
2	и не	5	27
3	может быть	4	23
4	как бы	4	19
5	не может	2	19
6	в нем	6	17
7	у достоевского	4	16
8	в этом	8	16
9	не только	9	14
10	и т.п	2	14
11	но и	7	12
12	как и	6	12
13	точки зрения	2	11
14	в том	3	9
15	и все	7	9
16	в его	3	9
17	с точки	2	9
18	достоевского в	7	8
19	и с	6	7
20	что ж	2	7
21	еще не	2	7
22	как раз	2	7
23	в себе	2	7
24	никогда не	2	6
25	но это	2	6
26	в него	2	6
27	к себе	2	6
28	о нем	6	6
29	но в	6	6
30	что он	4	6
31	что я	2	6
32	в романе	6	6
33	то же	5	6
34	все это	4	6
35	и он	2	6
36	и его	3	6
37	это не	4	5
38	о себе	3	5
39	же время	5	5
40	при этом	4	5
41	в котором	6	5
42	рядом с	2	5
43	в то	5	5
44	с его	3	5
45	у него	5	5
46	о том	4	5
47	уже в	4	4
48	что в	7	4
49	у тургенева	11	4
50	к ним	2	4
51	в виду	4	4
52	таким образом	2	4
53	том что	3	4
54	том же	2	4
55	он не	3	4
56	все же	6	4
57	то что	7	4
58	уже не	2	4
59	на то	3	3
60	в мире	2	3
61	в своем	3	3
62	одним из	3	3
63	отношение к	2	3
64	и наказания	2	3
65	так же	4	3
66	и даже	6	3
67	но он	3	3
68	в конце	3	3
69	их в	2	3
70	и во	3	3
71	в повести	2	3
72	и что	8	3
73	в своей	2	3
74	и о	3	3
75	в той	2	3
76	тем что	3	3
77	в этой	2	3
78	далеко не	3	3
79	и это	2	3
80	не менее	2	2
81	он сам	2	2
82	время и	2	2
83	достоевского и	7	2
84	для нас	4	2
85	и как	3	2
86	же как	2	2
87	для него	2	2
88	мне и	2	2
89	он тоже	2	2
90	целый ряд	4	2
91	отношения к	2	2
92	не было	5	2
93	а в	2	2
94	с ним	4	2
95	между тем	5	2
96	с нею	2	2
97	раз в	3	2
98	одна из	2	2
99	об этом	5	2
100	вместе с	2	2
101	так в	2	2
102	к достоевскому	6	2
