N	2gram	Tiupa_Disk_1	Analitik
1	в тексте	2	24
2	тогда как	19	19
3	в этом	15	18
4	в частности	9	16
5	и в	16	16
6	не только	28	16
7	литературного произведения	3	16
8	так и	8	15
9	как и	16	14
10	в том	23	12
11	своего рода	8	12
12	но и	14	12
13	и не	11	12
14	том что	19	12
15	в качестве	34	11
16	иначе говоря	2	11
17	могут быть	4	10
18	как бы	5	10
19	при этом	13	10
20	а не	22	10
21	в пределах	2	9
22	лишь в	4	9
23	и даже	3	9
24	в этой	2	9
25	то есть	20	9
26	в данном	5	8
27	отнюдь не	8	8
28	состоит в	9	8
29	в целом	4	8
30	и т.п	12	8
31	представляет собой	17	8
32	к тому	5	7
33	в себе	7	7
34	то что	5	7
35	о том	8	7
36	а также	8	7
37	с другой	10	6
38	текста в	2	6
39	в самом	3	6
40	и на	5	6
41	может быть	17	6
42	но в	8	6
43	в сторону	4	5
44	и к	4	5
45	данном случае	2	5
46	с одной	9	5
47	на себя	2	5
48	не менее	2	4
49	в своем	6	4
50	столь же	3	4
51	можно сказать	5	4
52	в ходе	3	4
53	уже не	4	4
54	тому же	5	4
55	не в	7	4
56	за пределы	2	4
57	но не	11	4
58	того же	3	4
59	для него	4	4
60	одной стороны	9	4
61	как правило	4	4
62	в сущности	2	4
63	имеет место	3	4
64	совпадает с	2	4
65	внутренней речи	2	4
66	времени в	2	4
67	и тем	2	4
68	не с	3	4
69	отношению к	9	4
70	во всех	5	4
71	как в	10	4
72	по отношению	9	4
73	не может	9	4
74	на этом	2	4
75	и его	2	4
76	то же	7	4
77	коммуникативного события	14	4
78	хотя и	2	4
79	точки зрения	3	4
80	только в	7	4
81	в себя	5	4
82	в рамках	5	3
83	никогда не	2	3
84	по крайней	2	3
85	что касается	2	3
86	одного из	2	3
87	прежде всего	11	3
88	как уже	3	3
89	или иной	5	3
90	при всей	3	3
91	ему в	2	3
92	одной из	4	3
93	в ситуации	3	3
94	высказывания в	6	3
95	есть в	2	3
96	имеем дело	2	3
97	в действительности	3	3
98	крайней мере	2	3
99	мы имеем	2	3
100	на его	4	3
101	или в	2	3
102	той или	3	3
103	что и	3	3
104	из них	3	3
105	со стороны	7	3
106	в их	5	3
107	приводит к	2	3
108	и одновременно	2	3
109	именно в	3	3
110	того или	2	3
111	на смену	3	3
112	на небесах	2	3
113	а в	5	3
114	как мы	2	3
115	тому как	3	3
116	являет собой	3	3
117	тем что	3	3
118	подобно тому	2	3
119	сводится к	5	3
120	и т.д	4	3
121	в организации	2	3
122	едва ли	2	3
123	и все	2	3
124	в противоположность	2	2
125	того что	3	2
126	очевидным образом	3	2
127	или даже	2	2
128	в одном	2	2
129	к этому	2	2
130	вследствие этого	3	2
131	по себе	3	2
132	его как	2	2
133	отличие от	5	2
134	в соответствии	2	2
135	соответствии с	2	2
136	же время	4	2
137	что в	4	2
138	так например	2	2
139	что с	2	2
140	еще не	14	2
141	о чем	2	2
142	повествователя в	2	2
143	такого рода	4	2
144	значительной степени	2	2
145	в своей	5	2
146	текста и	2	2
147	еще в	3	2
148	частности в	2	2
149	в котором	5	2
150	себе не	3	2
151	природе своей	5	2
152	один из	3	2
153	это было	2	2
154	не есть	2	2
155	с ее	2	2
156	себя в	2	2
157	строго говоря	2	2
158	в отличие	5	2
159	дело не	2	2
160	ли не	3	2
161	по выражению	2	2
162	другой стороны	3	2
163	внимание на	4	2
164	лирического дискурса	2	2
165	языка и	2	2
166	отношения к	2	2
167	таким образом	3	2
168	здесь в	2	2
169	в значительной	2	2
170	по природе	5	2
171	свидетельствует о	2	2
172	и он	2	2
173	высказывания и	2	2
174	роль в	7	2
175	не следует	2	2
176	и адресата	2	2
177	между тем	4	2
178	и во	2	2
179	одну из	2	2
180	самого рассказывания	3	2
181	к его	2	2
182	на протяжении	2	2
183	в то	3	2
184	в его	7	2
185	в произведении	3	2
186	сказать что	3	2
187	особого рода	2	2
188	дискурса к	2	2
