N	2gram	Tiupa_Lite_1	Russkaja
1	не может	5	22
2	и не	12	19
3	в том	16	17
4	в этом	12	17
5	и в	8	14
6	то что	10	13
7	самим собой	2	12
8	таким образом	3	11
9	то же	5	11
10	точки зрения	6	11
11	же время	5	10
12	но и	17	10
13	в то	5	10
14	том что	14	9
15	не только	24	9
16	в себе	7	9
17	с точки	2	9
18	может быть	13	9
19	во всяком	3	9
20	прежде всего	11	8
21	отнюдь не	2	7
22	к тому	2	7
23	самом деле	2	7
24	в данном	5	7
25	самого себя	3	7
26	о том	2	7
27	что он	5	6
28	для него	2	6
29	всяком случае	2	6
30	в своем	11	6
31	в своих	4	6
32	в россии	2	6
33	хотя бы	2	5
34	или иной	2	5
35	при этом	19	5
36	было бы	2	5
37	в своей	4	5
38	никогда не	4	5
39	в нем	2	5
40	и только	2	5
41	а потому	2	5
42	а в	3	5
43	потому что	3	5
44	во имя	2	5
45	только в	8	5
46	между тем	2	5
47	но не	4	4
48	что в	3	4
49	в мире	2	4
50	как и	6	4
51	как бы	7	4
52	все же	4	4
53	себя в	6	4
54	жизни и	3	4
55	со стороны	4	4
56	в их	3	4
57	приводит к	3	4
58	не в	8	4
59	можно было	2	4
60	и то	2	4
61	в этой	4	4
62	в его	7	4
63	его в	3	4
64	для них	2	3
65	на том	2	3
66	из этих	2	3
67	в конце	4	3
68	да и	3	3
69	в другом	2	3
70	лишь в	4	3
71	в качестве	17	3
72	еще не	4	3
73	несмотря на	3	3
74	в самом	3	3
75	для этого	4	3
76	то это	2	3
77	не есть	2	3
78	из них	4	3
79	все они	2	3
80	данном случае	4	3
81	не было	3	3
82	сводится к	3	3
83	того что	6	3
84	друг друга	4	3
85	что для	2	3
86	культуры в	4	3
87	тем что	2	3
88	связи с	6	3
89	одна из	3	3
90	в сознании	2	3
91	этого не	2	2
92	русской культуры	3	2
93	должна быть	2	2
94	и есть	3	2
95	в частности	15	2
96	у него	3	2
97	по этому	2	2
98	к себе	3	2
99	состоит в	11	2
100	их не	2	2
101	не должен	3	2
102	уже не	7	2
103	на это	2	2
104	и является	2	2
105	на почве	2	2
106	для нее	2	2
107	для себя	5	2
108	и тем	4	2
109	не к	2	2
110	по отношению	3	2
111	тогда как	13	2
112	все эти	2	2
113	только на	2	2
114	тем самым	5	2
115	а не	16	2
116	что такое	2	2
117	и даже	3	2
118	во многих	2	2
119	свое собственное	3	2
120	том же	3	2
121	в силу	4	2
122	на себя	2	2
123	культуре и	2	2
124	как будто	2	2
125	в области	3	2
126	но в	3	2
