N	2gram	Losev_Prob_3	FransuaR
1	и в	44	65
2	то есть	34	45
3	как бы	9	22
4	и не	35	22
5	вовсе не	37	18
6	в том	21	16
7	в этом	17	15
8	но в	12	14
9	в условиях	3	13
10	в нем	9	13
11	мы уже	4	12
12	прежде всего	3	11
13	и его	5	10
14	и потому	7	10
15	не только	14	10
16	но и	10	10
17	так и	10	10
18	все эти	7	10
19	в его	9	9
20	во всех	2	9
21	все это	5	9
22	по своему	2	8
23	в своем	5	8
24	в основе	2	8
25	всех этих	2	8
26	здесь в	3	8
27	и другие	3	8
28	и даже	14	8
29	за пределы	5	8
30	формы и	3	7
31	его в	3	7
32	жизни и	6	7
33	точки зрения	5	7
34	только в	19	7
35	никогда не	6	6
36	том что	12	6
37	все же	6	6
38	как мы	8	6
39	еще не	5	6
40	при этом	4	6
41	может быть	28	6
42	в ней	5	6
43	искусства и	2	6
44	в отношении	2	6
45	на самом	7	6
46	и у	2	6
47	сказать что	16	6
48	так как	9	6
49	в частности	2	5
50	потому что	25	5
51	отличие от	3	5
52	есть в	3	5
53	или иной	8	5
54	для него	3	5
55	в своей	5	5
56	той или	12	5
57	еще и	7	5
58	как в	5	5
59	как и	10	5
60	в той	3	5
61	с их	2	5
62	и все	3	5
63	литературы и	2	5
64	поэтому и	2	4
65	связи с	8	4
66	это уже	3	4
67	это в	2	4
68	и к	6	4
69	не в	13	4
70	в этой	3	4
71	совершенно не	4	4
72	в самом	3	4
73	и искусства	2	4
74	из них	2	4
75	и до	2	4
76	сих пор	2	4
77	до сих	2	4
78	в их	2	4
79	для нас	16	4
80	в отличие	2	4
81	здесь и	3	4
82	и ни	3	3
83	мы будем	2	3
84	что в	8	3
85	не является	11	3
86	на котором	2	3
87	это не	9	3
88	и во	2	3
89	не просто	23	3
90	в тех	3	3
91	что он	9	3
92	в ее	4	3
93	но все	3	3
94	но это	8	3
95	мы и	2	3
96	в самой	2	3
97	самом же	4	3
98	самом деле	3	3
99	с точки	2	3
100	то что	23	3
101	вся эта	3	3
102	образности и	4	3
103	как раз	8	3
104	не может	7	3
105	в известной	2	3
106	разного рода	2	3
107	уже не	7	3
108	во всей	3	3
109	с другой	7	3
110	друг друга	2	3
111	же деле	4	3
112	даже и	16	3
113	он и	2	3
114	в себе	8	3
115	в искусстве	4	3
116	и вообще	8	3
117	и вовсе	4	3
118	нет ничего	6	3
119	но как	4	3
120	и здесь	5	3
121	с ним	7	3
122	ничего не	3	3
123	и с	9	3
124	в виду	10	3
125	ни к	3	2
126	но не	3	2
127	к тому	3	2
128	и без	4	2
129	или даже	5	2
130	и от	9	2
131	раз и	4	2
132	значение и	5	2
133	ни с	4	2
134	можно сказать	6	2
135	же в	3	2
136	да и	5	2
137	от него	2	2
138	кроме того	3	2
139	между прочим	2	2
140	от того	2	2
141	хотя и	5	2
142	он не	8	2
143	в таких	3	2
144	и особенно	2	2
145	и для	2	2
146	в целом	6	2
147	и именно	2	2
148	в процессе	2	2
149	образов и	3	2
150	этих образов	2	2
151	только на	5	2
152	отношения к	3	2
153	с одной	2	2
154	но эта	3	2
155	на отдельные	2	2
156	того что	8	2
157	в заключение	3	2
158	при таком	2	2
159	что мы	8	2
160	на этот	4	2
161	и очень	3	2
162	и по	2	2
163	есть только	4	2
164	в таком	5	2
165	или в	4	2
166	этот вопрос	3	2
167	в этих	2	2
168	но с	2	2
169	могут быть	2	2
170	является здесь	2	2
171	это можно	2	2
172	к какому	2	2
173	от всякого	2	2
174	ни на	3	2
175	о том	6	2
176	жизни но	2	2
177	и это	9	2
178	дело в	4	2
179	бы быть	3	2
180	здесь только	7	2
181	в чем	4	2
182	это было	2	2
