N	2gram	Tiupa_Narr_1	Formalny
1	и в	11	24
2	в его	6	23
3	прежде всего	4	22
4	и не	23	20
5	так и	5	18
6	не может	8	16
7	точки зрения	5	16
8	в этом	12	15
9	в нем	4	14
10	может быть	15	14
11	в своем	3	11
12	не менее	3	11
13	как и	13	11
14	в своей	5	11
15	и ее	3	10
16	то же	8	10
17	в ней	4	10
18	а не	13	10
19	и его	10	10
20	в то	4	9
21	же время	4	8
22	именно в	3	8
23	в свою	2	8
24	то что	9	8
25	как в	4	8
26	лишь в	3	8
27	и на	5	8
28	не в	6	8
29	и с	3	8
30	и от	2	7
31	до конца	2	7
32	не только	31	7
33	с ее	2	7
34	жизни и	6	7
35	но и	27	7
36	отнюдь не	2	6
37	и все	3	6
38	в том	8	6
39	в этой	6	6
40	самом деле	3	6
41	свою очередь	2	6
42	до сих	2	6
43	в пределах	2	6
44	она не	2	6
45	еще не	4	6
46	как бы	6	6
47	сих пор	2	6
48	в целом	3	6
49	входит в	2	6
50	а в	13	6
51	как это	3	6
52	хотя бы	2	5
53	по себе	4	5
54	в литературе	4	5
55	у нас	3	5
56	при этом	19	5
57	только на	2	5
58	не могло	2	5
59	в самом	6	5
60	со стороны	8	5
61	как мы	2	5
62	того что	4	5
63	с другой	2	5
64	но в	7	5
65	с его	4	4
66	в частности	14	4
67	никогда не	4	4
68	в мире	4	4
69	если бы	7	4
70	всяком случае	2	4
71	оно не	2	4
72	отношению к	3	4
73	быть и	2	4
74	по отношению	3	4
75	в связи	2	4
76	что в	3	4
77	друг друга	2	4
78	во всяком	2	4
79	но не	4	3
80	связи с	2	3
81	в жизни	3	3
82	что он	3	3
83	к тому	6	3
84	для него	4	3
85	и как	3	3
86	зависимости от	2	3
87	кругозора и	3	3
88	не по	4	3
89	но для	3	3
90	не о	2	3
91	он не	3	3
92	один из	6	3
93	все же	4	3
94	же в	2	3
95	в особенности	2	3
96	особенно в	2	3
97	не было	3	3
98	сводится к	3	3
99	мы не	3	3
100	тем самым	5	3
101	и даже	2	3
102	между ними	2	3
103	как она	2	3
104	в себе	6	3
105	здесь не	2	3
106	так сказать	2	3
107	в области	2	3
108	в нашем	3	2
109	в зависимости	2	2
110	его и	2	2
111	глава вторая	2	2
112	жизни в	2	2
113	сами по	2	2
114	это не	3	2
115	в одном	4	2
116	в году	2	2
117	не сводится	2	2
118	идет о	3	2
119	глава первая	2	2
120	уже не	8	2
121	в противовес	3	2
122	одна из	4	2
123	только в	12	2
124	как раз	6	2
125	и является	2	2
126	еще в	3	2
127	точка зрения	5	2
128	у тургенева	2	2
129	начала и	3	2
130	вместе с	2	2
131	значения и	2	2
132	как если	2	2
133	она была	2	2
134	не могла	2	2
135	и вот	2	2
136	происходит и	2	2
137	в результате	2	2
138	между тем	3	2
139	ничего не	2	2
140	жизни но	2	2
141	в произведении	2	2
142	с ним	2	2
143	могло бы	3	2
144	мира в	4	2
