N	2gram	Medvedev_V_1	slovoVRo
1	в романе	4	46
2	и в	26	39
3	может быть	22	37
4	и т	23	35
5	и его	6	33
6	т п	9	33
7	не только	25	24
8	и не	19	22
9	но и	10	21
10	не может	17	20
11	в нем	6	19
12	все это	10	16
13	в этом	26	16
14	так и	5	15
15	а не	7	14
16	в пределах	5	13
17	в процессе	16	13
18	во всех	6	12
19	вовсе не	3	10
20	не в	6	9
21	со своим	2	9
22	прежде всего	13	8
23	таким образом	31	8
24	точки зрения	3	8
25	с его	3	7
26	для него	8	7
27	еще не	2	7
28	в его	14	7
29	как бы	5	7
30	никогда не	4	7
31	и потому	2	7
32	и даже	2	7
33	могут быть	5	7
34	в них	4	6
35	и к	3	6
36	все же	5	6
37	как и	7	6
38	в своем	8	6
39	но не	2	6
40	она не	3	6
41	жизни и	3	6
42	в значительной	3	6
43	все эти	6	6
44	в слове	3	6
45	так сказать	2	6
46	но в	2	6
47	не могут	7	5
48	с другой	11	5
49	это не	7	5
50	и для	2	5
51	по себе	2	5
52	том что	8	5
53	или иной	2	5
54	одной стороны	2	5
55	только в	7	5
56	в том	15	5
57	например в	3	5
58	и их	3	5
59	один из	5	5
60	с одной	2	5
61	человека в	2	5
62	и наконец	2	5
63	с ними	4	5
64	мира и	3	5
65	в плане	5	5
66	не менее	2	4
67	всех этих	2	4
68	и др	9	4
69	и мир	3	4
70	художественный образ	5	4
71	отношению к	7	4
72	же время	5	4
73	зависимости от	5	4
74	одна из	4	4
75	в основном	5	4
76	в зависимости	6	4
77	по отношению	7	4
78	его не	3	4
79	то же	10	4
80	что оно	3	4
81	а в	3	4
82	с другими	2	4
83	даже и	3	4
84	в то	6	4
85	его в	3	4
86	перед нами	4	3
87	что в	10	3
88	хотя бы	19	3
89	не столько	2	3
90	и от	3	3
91	отметить что	2	3
92	человека и	3	3
93	стороны и	2	3
94	что и	3	3
95	из себя	2	3
96	связи с	4	3
97	его от	2	3
98	у него	6	3
99	всех его	2	3
100	и как	3	3
101	в ней	2	3
102	и дальше	2	3
103	бы и	6	3
104	этом отношении	13	3
105	не приходится	2	3
106	лишь в	2	3
107	идеологического творчества	2	3
108	сказать что	5	3
109	между тем	5	3
110	и социальной	2	3
111	говорить о	2	3
112	ту же	2	3
113	в особенности	2	3
114	в чем	2	3
115	как это	12	3
116	действующих лиц	5	2
117	например у	2	2
118	может не	2	2
119	не было	7	2
120	в сфере	2	2
121	хотя и	2	2
122	и непосредственно	2	2
123	тогда когда	2	2
124	говорит и	8	2
125	п в	3	2
126	как например	2	2
127	только о	2	2
128	данного автора	3	2
129	в себе	6	2
130	что он	4	2
131	его художественного	2	2
132	более или	6	2
133	как о	2	2
134	от характера	2	2
135	точном смысле	2	2
136	же и	2	2
137	даже в	5	2
138	должен быть	4	2
139	мы видели	3	2
140	то что	6	2
141	вместе с	7	2
142	подчеркнуть что	2	2
143	все они	2	2
144	в различных	2	2
145	или менее	6	2
146	в их	5	2
147	в форме	3	2
148	отличается от	2	2
149	в связи	3	2
150	с этим	3	2
151	т д	14	2
152	в точном	2	2
153	именно в	2	2
154	это и	6	2
155	они не	2	2
156	вне его	2	2
157	того чтобы	3	2
158	для того	3	2
159	одним из	5	2
160	мы наблюдаем	2	2
161	роль в	4	2
162	или в	3	2
163	также и	2	2
164	в результате	5	2
165	и при	5	2
166	как особый	2	2
167	он не	2	2
168	далеко не	2	2
169	к его	2	2
170	но как	3	2
171	в другом	2	2
172	единого и	2	2
173	о том	10	2
174	как он	2	2
175	которые в	2	2
176	только с	2	2
177	в области	2	2
178	в одном	4	2
