N	2gram	Tiupa_Hudo_1	KFilosof
1	может быть	5	43
2	в его	8	39
3	в нем	3	31
4	не может	7	27
5	и не	2	26
6	по отношению	8	25
7	и в	14	22
8	отношению к	8	21
9	в себе	11	21
10	в ее	3	17
11	а не	12	17
12	и его	5	17
13	только в	5	16
14	точки зрения	5	13
15	в этом	11	13
16	ни в	5	12
17	для него	10	12
18	но не	3	12
19	и это	4	12
20	все эти	3	11
21	в своей	10	11
22	не в	7	11
23	в своем	4	10
24	это не	7	10
25	все это	2	10
26	от себя	2	10
27	с точки	3	10
28	в целом	2	9
29	но и	5	9
30	в их	2	9
31	как бы	7	9
32	и все	4	9
33	бытия и	4	9
34	для нее	2	9
35	и для	3	9
36	не было	4	8
37	лишь в	3	8
38	если бы	3	8
39	было бы	6	8
40	жизни и	5	8
41	со стороны	3	8
42	на основе	2	7
43	то что	8	7
44	себя в	4	7
45	в себя	2	7
46	в том	12	6
47	в мире	3	6
48	отнюдь не	3	6
49	этот момент	2	6
50	он не	4	6
51	уже не	7	6
52	никогда не	6	5
53	то же	9	5
54	именно в	7	5
55	не имеет	2	5
56	должно быть	2	5
57	но как	2	5
58	его в	3	5
59	с ним	4	5
60	но в	5	5
61	не знает	2	5
62	жизни в	6	5
63	как и	9	5
64	что я	2	5
65	не только	12	5
66	для себя	3	5
67	все же	3	5
68	жизни как	2	5
69	что в	6	4
70	при этом	12	4
71	в своих	3	4
72	с ними	2	4
73	между тем	8	4
74	том что	16	4
75	о нем	3	4
76	как его	3	4
77	а в	7	4
78	не менее	5	3
79	ближе к	2	3
80	до конца	2	3
81	себе и	2	3
82	того что	4	3
83	слово не	2	3
84	и на	3	3
85	в ней	4	3
86	в то	8	3
87	отсюда и	2	3
88	того или	2	3
89	о том	12	3
90	мы не	2	3
91	ясно что	2	3
92	или иного	2	3
93	от него	3	3
94	по своему	3	3
95	еще не	7	3
96	на самом	2	3
97	самом деле	5	3
98	что не	2	3
99	тем что	3	3
100	в другом	2	3
101	здесь не	2	3
102	ничего не	8	3
103	слова в	2	2
104	а с	2	2
105	та же	4	2
106	прежде всего	11	2
107	вопрос о	2	2
108	тем не	4	2
109	же время	8	2
110	не о	2	2
111	себя и	2	2
112	в него	2	2
113	его жизни	2	2
114	по себе	2	2
115	тому что	4	2
116	как к	3	2
117	мышления и	2	2
118	потому что	5	2
119	к себе	5	2
120	говорить о	3	2
121	я и	2	2
122	ни к	2	2
123	с его	5	2
124	дело здесь	2	2
125	что он	9	2
126	и смерти	3	2
127	в качестве	9	2
128	не нужно	2	2
129	мышления как	2	2
130	в это	2	2
131	и когда	3	2
132	и потому	2	2
133	так и	13	2
134	как в	8	2
135	того чтобы	3	2
136	в этой	8	2
137	едва ли	3	2
