N	3gram	Vygotskiy__2	VeschiIm
1	и т д	2	20
2	не может быть	8	18
3	это значит что	2	17
4	бы то ни	2	9
5	на то что	6	6
6	в том что	17	6
7	в свою очередь	2	5
8	тем не менее	4	5
9	то же время	2	4
10	с точки зрения	10	4
11	в то же	2	4
12	было бы и	2	4
13	и то что	2	4
14	указывает на то	2	3
15	в самом деле	11	3
16	можно было бы	4	3
17	само по себе	3	3
18	сам по себе	4	3
19	подобно тому как	2	3
20	к тому что	2	2
21	и таким образом	2	2
22	этой точки зрения	2	2
23	в данном случае	4	2
24	заключается в том	10	2
