N	2gram	Nazirov_Tv_2	Hudozhes
1	и в	20	28
2	в рассказе	3	21
3	том что	4	19
4	в ее	2	18
5	и не	9	18
6	своего рода	3	16
7	в том	8	15
8	а не	6	14
9	не в	4	13
10	в этом	8	13
11	о том	5	12
12	как и	6	11
13	при этом	8	11
14	в его	10	11
15	не только	13	11
16	у нее	3	10
17	уже не	3	10
18	не случайно	2	10
19	но и	8	9
20	в себе	3	9
21	в душе	4	8
22	что он	6	8
23	может быть	8	8
24	себя в	2	8
25	так и	6	8
26	между тем	3	8
27	я не	2	7
28	жизни в	3	7
29	об этом	4	7
30	в мире	5	7
31	в частности	2	7
32	отношению к	3	7
33	что она	4	7
34	по отношению	3	7
35	тогда как	3	7
36	с ним	3	7
37	казалось бы	3	6
38	это не	7	6
39	в котором	3	6
40	то что	3	6
41	в своей	6	6
42	если бы	4	6
43	то же	7	6
44	не было	2	6
45	сводится к	2	6
46	а в	4	6
47	и с	8	6
48	тем что	3	6
49	в то	10	6
50	не менее	2	5
51	у него	6	5
52	как бы	11	5
53	как в	4	5
54	в этой	5	5
55	что в	7	5
56	и сам	5	5
57	в самом	3	5
58	наряду с	7	5
59	никогда не	11	5
60	и его	9	5
61	рядом с	2	5
62	для него	3	5
63	ничего не	4	5
64	превращается в	3	4
65	наш взгляд	2	4
66	но не	5	4
67	что они	4	4
68	же время	7	4
69	он не	3	4
70	и т	13	4
71	не может	7	4
72	человека в	3	4
73	на наш	2	4
74	только в	2	4
75	бы не	2	3
76	все время	2	3
77	с другой	2	3
78	в одном	2	3
79	человека и	3	3
80	личности в	2	3
81	прежде всего	8	3
82	в нем	3	3
83	и ее	2	3
84	что на	2	3
85	в соответствии	4	3
86	самом деле	2	3
87	как о	2	3
88	еще не	5	3
89	одной из	3	3
90	по преимуществу	2	3
91	на него	2	3
92	все это	6	3
93	а с	3	3
94	едва ли	2	3
95	и он	2	3
96	так же	5	3
97	с другими	2	3
98	с ними	2	3
99	и на	5	3
100	соответствии с	4	3
101	что у	4	3
102	и это	3	3
103	героя и	2	3
104	в основе	2	2
105	это был	3	2
106	место в	3	2
107	только для	2	2
108	он сам	3	2
109	отнюдь не	4	2
110	его и	2	2
111	давно уже	2	2
112	именно в	6	2
113	не столько	2	2
114	и от	4	2
115	в духе	4	2
116	вовсе не	2	2
117	тому же	2	2
118	что я	2	2
119	же как	3	2
120	одна из	3	2
121	как у	3	2
122	это уже	2	2
123	что не	3	2
124	до сих	3	2
125	не является	3	2
126	один из	3	2
127	все же	5	2
128	из них	2	2
129	вместе с	3	2
130	сих пор	3	2
131	по причине	2	2
132	приводит к	2	2
133	и тогда	2	2
134	т п	2	2
135	т д	11	2
136	тем самым	4	2
137	и у	2	2
138	в принципе	4	2
139	главного героя	3	2
140	роль в	2	2
141	из нас	2	2
142	потому что	7	2
143	писателя в	2	2
144	характера а	2	2
145	в виде	2	2
146	говорить о	2	2
147	и только	2	2
148	его в	3	2
149	нет ничего	3	2
150	но в	4	2
151	тоже не	2	2
152	же не	2	2
153	любви к	3	2
