N	2gram	Berdyaev_M_1	Problema
1	то что	5	42
2	то есть	3	33
3	и в	28	32
4	и не	11	31
5	не есть	9	29
6	в этом	20	19
7	не только	29	17
8	потому что	16	16
9	а не	25	15
10	в себе	7	15
11	как бы	2	14
12	может быть	30	14
13	у нас	5	14
14	но в	7	14
15	в нем	13	13
16	сказать что	2	13
17	что в	10	12
18	том что	3	12
19	также и	2	11
20	о том	2	11
21	так как	3	11
22	прежде всего	10	10
23	в этой	6	10
24	нет ничего	7	10
25	ничего не	3	10
26	но не	8	9
27	в том	6	9
28	это есть	3	9
29	но и	25	9
30	и что	2	9
31	по своему	2	9
32	того чтобы	2	9
33	и это	12	9
34	есть только	2	8
35	не может	28	8
36	все эти	2	8
37	и на	6	8
38	даже и	2	8
39	он и	2	8
40	когда мы	2	8
41	было бы	10	8
42	в своей	15	8
43	для того	2	8
44	никогда не	14	7
45	смысле слова	4	7
46	все это	6	7
47	того что	7	7
48	в них	4	7
49	и все	10	7
50	что он	10	7
51	тем что	4	7
52	только в	6	7
53	и есть	14	6
54	в конце	7	6
55	и как	2	6
56	в самом	11	6
57	в виду	2	6
58	это не	5	6
59	его в	3	6
60	о чем	2	6
61	не существует	2	6
62	есть не	4	6
63	в то	2	6
64	за пределы	4	6
65	в его	9	6
66	разного рода	2	6
67	в своем	10	5
68	не знал	4	5
69	для нас	3	5
70	в котором	8	5
71	с тем	9	5
72	не в	16	4
73	один из	4	4
74	на том	3	4
75	в их	4	4
76	не было	18	4
77	а в	4	4
78	в истории	2	4
79	как он	2	4
80	конце концов	2	4
81	если бы	2	4
82	литературы и	2	4
83	как в	2	4
84	входит в	2	4
85	и для	2	4
86	уже в	4	3
87	прежде чем	2	3
88	в этих	4	3
89	есть также	2	3
90	хотя бы	3	3
91	и его	9	3
92	только и	3	3
93	в самой	7	3
94	в которых	4	3
95	с этим	3	3
96	но он	9	3
97	точки зрения	4	3
98	и еще	3	3
99	с ним	2	3
100	и во	2	3
101	в жизни	3	3
102	не хочет	2	3
103	в ее	3	3
104	как и	5	3
105	учение о	3	3
106	есть и	3	3
107	до сих	2	3
108	мы увидим	3	3
109	к тому	3	3
110	он не	24	3
111	о нем	2	3
112	сих пор	2	3
113	уже не	4	3
114	на этот	2	3
115	к нему	7	3
116	в каком	2	3
117	как будто	2	3
118	значит что	4	3
119	он сам	6	2
120	не могут	5	2
121	вообще не	2	2
122	его как	2	2
123	момент в	2	2
124	оказывается что	2	2
125	для него	11	2
126	из подполья	10	2
127	но если	3	2
128	в него	3	2
129	понять его	2	2
130	не имеет	3	2
131	должно быть	3	2
132	особенно в	3	2
133	и с	3	2
134	не как	4	2
135	одно из	3	2
136	как для	2	2
137	с собой	3	2
138	с его	3	2
139	для них	3	2
140	могут быть	2	2
141	он должен	3	2
142	и уж	2	2
143	человека а	3	2
144	мы видим	2	2
145	ведь это	2	2
146	она не	4	2
147	не значит	2	2
148	и потому	10	2
149	нет и	5	2
150	вместе с	6	2
151	и сама	2	2
152	он в	2	2
153	в которой	6	2
