N	2gram	Ircho_Kome_2	SlovoVZh
1	не может	3	16
2	точки зрения	4	14
3	может быть	11	14
4	и его	12	13
5	как бы	2	13
6	таким образом	6	12
7	и в	26	12
8	в нашем	2	11
9	отношению к	3	11
10	по отношению	3	11
11	и не	14	10
12	если бы	9	9
13	так как	4	9
14	прежде всего	4	8
15	для нас	3	7
16	в нем	6	6
17	все время	2	6
18	в том	11	6
19	только в	4	6
20	в ней	3	6
21	то что	6	5
22	то же	3	5
23	хотя бы	2	5
24	как и	4	5
25	том что	9	5
26	отнюдь не	2	5
27	как в	3	5
28	но в	3	5
29	в виду	2	5
30	и к	2	4
31	ни было	2	4
32	все же	4	4
33	отношение к	2	4
34	жизни и	3	4
35	так и	12	4
36	от того	2	4
37	с другой	2	4
38	не в	2	4
39	в этом	10	4
40	и на	7	4
41	его в	4	4
42	в самом	4	4
43	к нему	3	4
44	не только	7	4
45	в котором	3	3
46	в них	4	3
47	бы то	2	3
48	не менее	4	3
49	в своей	3	3
50	сих пор	2	3
51	все это	3	3
52	то ни	2	3
53	так называемой	3	3
54	ясно что	8	3
55	но и	10	3
56	ни в	5	3
57	да и	3	3
58	мы не	2	3
59	и с	5	3
60	о том	6	3
61	и ее	2	3
62	до сих	2	3
63	еще не	6	3
64	и для	4	3
65	из этого	2	3
66	между тем	4	3
67	имеет в	2	3
68	содержанию и	2	2
69	место в	4	2
70	уже в	4	2
71	с этой	3	2
72	с его	5	2
73	что и	7	2
74	независимо от	5	2
75	но все	3	2
76	от всех	2	2
77	что в	9	2
78	как не	2	2
79	вместе с	9	2
80	в этих	4	2
81	в своем	6	2
82	в какой	2	2
83	это не	2	2
84	дело с	3	2
85	мы имеем	2	2
86	и все	2	2
87	и другие	2	2
88	тому же	11	2
89	с одной	2	2
90	к этому	5	2
91	и что	2	2
92	едва ли	14	2
93	и здесь	6	2
94	и дает	2	2
95	мы можем	3	2
96	но не	3	2
97	в то	6	2
98	одной стороны	2	2
99	на это	2	2
100	как это	4	2
101	к его	2	2
102	он не	2	2
103	в его	4	2
