N	2gram	Medvedev_F_1	VelikijI
1	и не	20	20
2	и в	24	16
3	то что	8	9
4	еще не	6	8
5	в истории	4	8
6	и потому	9	7
7	а не	10	7
8	не есть	2	6
9	в мире	4	5
10	как бы	6	5
11	но и	7	5
12	все это	9	5
13	того что	5	5
14	что он	3	4
15	в нем	14	4
16	как и	11	4
17	так и	18	4
18	в этом	15	4
19	в ней	10	4
20	и все	6	4
21	в его	23	4
22	с его	4	3
23	должна быть	7	3
24	что в	4	3
25	в них	3	3
26	в жизни	3	3
27	ни в	2	3
28	в том	6	3
29	не в	8	3
30	но это	3	3
31	к тому	3	3
32	во всех	5	3
33	никогда не	4	3
34	оно не	4	3
35	что и	2	3
36	жизни и	7	3
37	в своей	11	3
38	не было	3	3
39	лишь в	8	3
40	и что	2	3
41	хотя бы	5	3
42	должно быть	11	3
43	от этого	2	3
44	все эти	6	3
45	но в	5	3
46	с тем	2	2
47	его и	2	2
48	это не	2	2
49	прежде всего	22	2
50	что было	2	2
51	одна из	2	2
52	но не	3	2
53	конечно не	4	2
54	для него	3	2
55	не только	7	2
56	значения и	2	2
57	нет и	2	2
58	один из	3	2
59	не с	2	2
60	и т	12	2
61	всего в	3	2
62	т д	8	2
63	мы не	3	2
64	уже не	2	2
65	не так	2	2
66	его не	2	2
67	а в	6	2
68	с ним	2	2
69	между тем	2	2
70	только в	2	2
71	и это	2	2
72	во всяком	4	2
73	мира в	2	2
